iteration,gas,gasPrice,latency_ms,status,error,txHash
1,239241,14681561879,10777.15,success,,0x13a57dc3b1e988738f21326bf72e2326661e9de234dce43612e65dc34a506c30
2,239241,13992639948,12891.46,success,,0x6df5b39472bd0fc056a50d664dbefadf272a42f8ccb140d4078b0cb6e32a3722
3,239241,14981789321,10738.10,success,,0x73017ba3a8d0544ae76bcb3c0e71950fd86c690c1bcb8c742efe62f833f264d0
4,239241,14795862162,12282.24,success,,0xa88cea533da322ca8bab284a66a0e9f2ce0eb714f08d54c9622be8f9a0e65f18
5,239241,14704862755,12799.46,success,,0xeaf6734efa13d3f0cd264c4f228b8d1f2e8d2b7d3a0b3db4c6fa627a7b899810
6,239241,13685119728,10829.28,success,,0x367a2c65ecf1423ac5db9661b3ffaa2055b910fc9abb5244aaf3997b077edc46
7,239241,13936569946,12123.18,success,,0xc5477d6752fc9fea5cc0928864c25fb2891748b99d7f5e520c111b2783b66b3d
8,239241,13608786264,13144.01,success,,0x5ee9d89ed46500c885592d6603e5b103d49d9cee4aa1474c452614217b77f06d
9,239241,13532689927,11304.13,success,,0x7a5ad44b1a581bbff67316a26d51a37397979640906631c98731dd78cd15abdf
10,239241,13342645551,11515.67,success,,0xc440b58dfb3db58eea5a2e262613d8a6aeaa0958bc0515e9d7c393a9c797ab3f
11,239241,13410975825,12743.29,success,,0x720f85979dcec24d37243c4687579cb7a296aa3c6fa674282eb60bc4404fb893
12,239241,13327471522,12204.84,success,,0xb1d479f79605d90e725442de03965059bdad78f7bdef27d74146e214986fb4cd
13,239241,13084850498,11575.81,success,,0x173495f7bbed8356bff2fa55bc01501388821dc27b0f78a4939325d07e9c4b9e
14,239241,13043224116,11743.94,success,,0x0c4b18ede1b861cd6a553ca95bb161ed91ac583d1d378ce50325b81a51a838d2
15,239241,14107288404,11756.28,success,,0x0d8469dab397c640432b3301c4efd4a68ec04ed6baad7ebd04c524f68aecf308
16,239241,15082909646,24169.81,success,,0xa8a15e4a0e45f47d796e199111436b9caaee701d01f257214d30779292ccff7d
17,239241,15061977339,13146.24,success,,0x5d0d7ad040c1c32bd3742cffacc52a3e95f011f34ebd087608a6fc784aa1e2f4
18,239241,13429702952,11151.46,success,,0xc403f65dfc258a3ee028ccd6b618b027265272fd341ea9c353d7aaaa3b1566e7
19,239241,14651869656,23868.79,success,,0x087136ec38720b3d40d6380e767f2c87149e8a07b34ca9de6c0792576f65f5ef
20,239241,15159791391,12980.29,success,,0xfe11d6b5d72aa44c32d5b94771083c75868541c7663e2ef4c72f9cd01cb41ce9
21,239241,15687121846,11302.91,success,,0x0a921c8bed5013993bbcdfc029a2cb1000786315e0b416445038ca38f3ab84e8
22,239241,14843598152,11688.70,success,,0x1f0c053d323b602c91bf0bcd7518122666e466bf78afc0a2b1b9adddaf7ae0cb
23,239241,15181865722,13284.65,success,,0xd5f66129adb346ac739131565b4bc53bfdcf47e22051dab4691414216ddc4066
24,239241,15780932902,10794.91,success,,0xdb2ec3c8eb1aa0ee128ad4610d7c54c5f8e973d3ad3617b3c9d756e97b26d6b1
25,239241,15663262819,11338.71,success,,0x926dd36db3e60f67c92c47cfd537cf5b2f2dec8beff2757982d407b0125838d5
26,239241,15365084148,12312.68,success,,0x330c940afd4d42e06436e5654ea264bf3159dcebee0fc32d81e010f2eafbd978
27,239241,14305188197,12229.18,success,,0x20c91e089a00b5d9572850a3e66b39e7a739d1b22037037932ac1abf793f22d5
28,239241,13139084394,12424.47,success,,0xccb416e796e0bb858991aa79a436d35fd08518e8791402633643b510608e0686
29,239241,13560366655,14512.76,success,,0xa88f2914cbcc7e2d6e6fb671172bff9e5a949e3a7fa3d0c49cf5072c5c9e3fb5
30,239241,14162083010,9819.72,success,,0x3639996cfb39cf420d6ce48d4c1858e5404552c45dc2251a8d8d850ffc357d84
31,239241,13454177541,11265.49,success,,0x7fccb12617a6f340a790f0201cd65ed2d57146cd73bf2d5f955598c39dbb7d17
32,239241,13234269251,11588.27,success,,0xaf7e2a7b8a6e21769887609504097a58769eb52a3a23567ed7fdf396b2f012a4
