iteration,gas,gasPrice,latency_ms,status,error,txHash
1,408186,25000000,3733.76,success,,0x8635ad3329cfe42713200941a3193febeed1fbd0d79b9bb9e4ac8dda561ffa61
2,408186,25000000,3344.63,success,,0x3877a4b1d27cf8633dbd03b79a390edac156375ddcacea29b87102003ad473f7
3,408186,25000000,3259.48,success,,0xd6ec66cfb6da62c3f1c001b106711b203a70dd9f28b15c57a42e363b977033de
4,408186,25000000,4186.15,success,,0x7bf2b95c82392eb1406fadd208494135aed90605dbe16cbded0470d4102a50ba
5,408186,25000000,2531.15,success,,0xcf319b8005371aaa6c407b41c728dfe1ba9f03bd13e10c4798a1c27612a6277d
6,408186,25000000,2549.08,success,,0x525bf2b7b49e19d43207a98a80be1c501de286d70852359c344f5545066c2978
7,408186,25000000,2691.43,success,,0x20ffa36bb79f2636ce02c3c10bcd954d1c0f9235d45c75efbc68662df9a1e520
8,408186,25000000,4072.99,success,,0x37f9b941f82713ad7e11616ca6616970f18f9b5796ff4f18eeeac9321a2838d2
9,408186,25000000,3324.67,success,,0x008e5dceb55edeaa1756f0044ddc080af3f29085a15aa0c9c953fce9fa21b241
10,408186,25000000,2629.73,success,,0x7d33e7d3699e23c430fcb94f33fcba54965193aa000761c4b0b971404ce56825
11,408186,25000000,2797.00,success,,0xee5d3e867676a2d2032ced51d7455193cfe7d33d738fc3ffe409c1f540886ba3
12,408186,25000000,4404.48,success,,0xd2e8ee7c5dc0d738659b9970b7315276431a888c9aa1b674b3c1f4c11b6eea79
13,408186,25000000,3161.19,success,,0x9287237d973a86e98a177c1716f63531a2319d4e09401d09a4360fb14c39830a
14,408186,25000000,3207.30,success,,0x3a0b76c5c170d2548b1c9365ba8360668448b8fb2d4ce68967683245d7dbd708
15,408186,25000000,4381.35,success,,0x03e40f515a4a10b0f4a977b1053ea6958ae8fe1d92b49ad48f267a67517b45b7
16,408186,25000000,3788.95,success,,0x23578c5a226b359928e2cf8deab2a4032601dd853ad9343e05a631da3c8a7aaa
17,408186,25000000,2578.73,success,,0xa488f0a2aff99a37423ad67a13a328104afdedc9ccd431a7e4b514edffd2f7b9
18,408260,25000000,2604.15,success,,0xc56535cce93cf32e0666222f84237573d8b39ac4e379168745aa8ae08bb12fc2
19,408260,25000000,4435.97,success,,0xe531d5edb09d6da561d60a10f7453d93ffeb0acd16417493976f81992cb8ffcb
20,408260,25000000,3200.14,success,,0xb5aefc6322c6b5fa31af8f790ac6403fd8a37dc89c0663f0b6b8bca548c60494
21,408186,25000000,2980.35,success,,0xebe60ca850bc67650eff928434e9e7aea541b3fd5da9b787046da0c8ceb34549
22,408186,25000000,2473.27,success,,0xe8f40f2f30d1cadb887b38554f4fff1d853775940886496c85e9876a693366be
23,408186,25000000,3471.73,success,,0xa251837a5cfec61edfe495a8cd33b97c683b7d782dbdd83c1ed5d67a29e616a0
24,408186,25000000,2955.16,success,,0x3db32f9dec6448947dd5fe0dcd75f3cdd3e238a92745ea498750574f2b7f4d1e
25,408186,25000000,3087.56,success,,0x8f065f56682ccf68273ca0b87adb08a75908f46aa17f8e573b4b77ceb3c927ba
26,408186,25000000,3035.20,success,,0xe6288255e6d397e4880845d65ebc07800d2be5620f9d19297c277863e0829606
27,408186,25000000,2750.11,success,,0x4b5f202f7487474a9c09f510ae293037f23ccf7ec8b24c2ef672c2cf2540ad95
