iteration,gas,gasPrice,latency_ms,status,error,txHash
1,435731,25000000,4942.32,success,,0xd323fd636bb8872a4c5e3bbb8756cb672a59106e3ce7286b76ec327d6bf25785
2,408186,25000000,2794.05,success,,0x272ae6d473153a61843b7d5c8fb1f131e58fc515026d165e6827aa583f689f80
3,408186,25000000,3065.95,success,,0x8cc43c19a8f86d46dafda4d631aeb0cee7b6f4829f240f79d9f11204e94f8e3f
4,408186,25000000,3408.12,success,,0x3f156951c447d4f33a682aaa860e9f05965975e4927d505c0accbd0dc32896d4
5,408186,25000000,2976.71,success,,0xb147c031388aa4e1fa7ec4bbb39d42e668137eb0a146ec832a014e1913fcdbc5
6,408186,25000000,3131.84,success,,0x5b0f29b81474e0b4d75a45361bcce2913cf405284662ca4acc2b7bc94c9a7bc3
7,408186,25000000,4448.96,success,,0x901bd23b483e134a9f3e0f32cbd63c537752a431ef0db40e057f9f8af1f2d044
8,408186,25000000,3328.96,success,,0x76938cee307eb13c85b50cdba3253ce9b935adf3f3589d8c32775c3c04b0eb3c
9,408186,25000000,3733.86,success,,0x77379cb7fe02b044e788c0cf930fa6d14db8e90466bcf3d4ca9fd9ed5252852b
10,408186,25000000,4936.11,success,,0xf3c9209e79c11d667607cd65558ca6da6a1c184d251433789622164e135091d3
11,408186,25000000,4223.76,success,,0xbd6650780eaf138d80c79b43d9a6cca539139b348b403ff9d58ddd33ba49aa50
12,408186,25000000,2904.00,success,,0x8b5502333e87a3ebdbad23f539f743e77f11f30d04a8763558e15a2d87a488e8
13,408186,25000000,2818.89,success,,0x6fc9f9ca0304f18a26449b2692ba1680470a492e10c2014f35b174a1bbe659af
14,408186,25000000,3261.48,success,,0xbad285cdbe229e804521140797ca08c3b082ee6add6ef5bae29a17af2f1fb84b
15,408186,25000000,4036.22,success,,0xa46d54e89ebfb02643fedb072bcacc7b63f34745b26cc4f4855c9f59b7996beb
16,408186,25000000,39033.62,success,,0xc9f479e8262457b80c415d0df6d38d5d92c559144641797f648d954f47eaa52f
17,408186,25000000,3461.02,success,,0x10407ed4922a8e131477e75af27e98b51943ba3b17e03f3e0d79c1258d90ef6a
18,408186,25000000,4124.10,success,,0xa3debcf933fe00a211d644c58dc46ed8d9763e91442d9158c712e3d1113b95fe
19,408186,25000000,2973.85,success,,0xfb35b8a74b5f8a95a5a5f84aa71c6f14cd10cf2b27a7a6b1de37a06e658a62fd
20,408186,25000000,4509.84,success,,0x570c773d85c58b3dc443c162095b8232a0f6029e3b49e02375401dd197bff4f3
21,408186,25000000,3607.96,success,,0x5cf0583ba2bbc2ce05b9b4e44dcac09818b437cdca5d7fb31c0231343de14985
22,408186,25000000,5993.00,success,,0x64244dcc5c98664072c7fd8eab6978f8305d120da99e7bedf4074b2c18d138c9
23,408186,25000000,6063.86,success,,0xed2a13a3535562eec5c2effcb1349dc1db4e119a787263ecf1b0aec9b77cb827
24,408186,25000000,3552.60,success,,0xd39ba914d0094a3e630575a1798b836158469daccb873ff94f783eadc8dc6976
25,408186,25000000,5135.55,success,,0xa211195fd15be3168fa355ac6059ddd1ae755c39b2fbaa425f33560de9cd0608
26,408186,25000000,5282.81,success,,0xadfb839de7b78367d454325a02a866bcc7a1439d0ce61af75ec6f614fc977e9e
27,408595,25000000,3327.81,success,,0x43f04d18920764e0c2dd154a8c74aea70a1458c93926545b324b92ed2879849f
28,408595,25000000,3067.18,success,,0xffe5a87a3589af78d8ef6896f9296979c0abf5c90f22e00f0a4cbf7a762f5662
29,408186,25000000,3464.23,success,,0x8dc8508a61fff4aee4c9e05d918e85248c620e0c960623d443669730bdb4770a
30,408186,25000000,3488.38,success,,0x72f000ef1ff3818cf62ce268cc5d0fb3837f3d17d2a9a287ff3740fe8af1cbfe
31,408186,25000000,2933.70,success,,0x9ff5470fb6870a08e7dd09aa188fe08e90e2b3ed10afdcd17f35ab5aa0fb2577
32,408186,25000000,4199.98,success,,0x9821cdfb27c49d27189942a34355ba45a30bf2427866425c1ca926299dcf396a
33,408186,25000000,2796.12,success,,0xda6aaf56ca9cd2e6f03e8ba6d3f9af01a08e1836a7aaf5c781e23468c482a43b
34,408186,25000000,2861.34,success,,0xe250912459719a1617a16ae0eb7b64d134fff4033060bec84d977dd5a1cdec88
35,408186,25000000,2965.65,success,,0x26347410c2bf24c4a838432067998acccc0331c6855ef8306bc6b7461279ff7d
36,408186,25000000,2891.81,success,,0xa167f36f222ec73878570ab2319b72d7ed8b3c3b1ba012cf01566523a44f5c25
37,408186,25000000,3547.72,success,,0x51f0542ad8c6935f9a1ac1a6cd153db98f4b71bbcc68ac7dda4fbcc6040d4565
38,408186,25000000,3023.42,success,,0xda4d508ec28f6f833db59fd19231fd9558123e4be8a7b2180ff3f949d9fe777e
39,408186,25000000,3850.90,success,,0x4c5149b8f2688ffd6b33542b821e31ca31030faa8fce1e04134e8d4f50b03165
40,408186,25000000,4246.18,success,,0x5f87c200b3fe28f54b2267dc8ab2c57f2e1e87bb108e5ea549563cd8947d53b1
41,408186,25000000,4369.05,success,,0x21ffcace877301d0cd1a81fc1861ae7ec99b9de4a1127fb9b1db3aa4374792a8
42,408186,25000000,3263.15,success,,0x2e044c587e34490a567936a978f58215a922ea6d3971427852ad30ae27ccf710
43,408186,25000000,4403.99,success,,0x2fa329b93b7b07d34571749a2b37764a50cafdb216c6776d2c53ab4dbd5bc026
44,408186,25000000,3668.43,success,,0x0d76eba7318adf1a1e02ea03df8ffdb8dd36a05afb67d46fdd76c95c7fa66e25
45,408186,25000000,4227.33,success,,0x66a20de6c24dc7b8c90fae0122e9358ba7d6833aa617d8ea28a3308cc62e88ff
46,408186,25000000,2767.01,success,,0xe8c47d0ae8e4df714a03e5253fc09cff050c263c7adf1a1f4a38ae728cbe53a3
47,408186,25000000,2940.95,success,,0xf4da5e0f6f2bcce9814b40b1630b3028f0ffee5cc21d9ab4f0c11380b9722f71
48,408186,25000000,3527.99,success,,0xb56a4181d5f03f72691ed5be38ac5f18ffede08e17613bc65ecd1d1b9f2e55f3
49,408186,25000000,4263.69,success,,0xe13d656ef6b6ada32152e690e9e4ea6a9f9c456eb199090b52f11109206c4164
50,408186,25000000,2933.04,success,,0xa899378010a04b869679c23c708586eb3d9c82c25e90a747752c21cee6b5de3d
