campaign_id,run_id,plan,env,client_version,hardfork,chain_id,profile,cell_id,backend,depth,partner_depth,op_seq,op,kind,proof_id,proof_j,leaf_index,from_account,to_contract,contract_name,contract_address,nonce,gas_limit,expected_status,status,expected_revert,revert_reason,expected_return,return_value,check_pass,gas_used,calldata_bytes,calldata_zero_bytes,calldata_tokens,calldata_gas_standard,floor_gas_7623,create_gas,intrinsic_gas,exec_gas_derived,floor_binding,code_deposit_gas,initcode_bytes,runtime_bytes,runtime_keccak,runtime_matches_artifact,calldata_sha256,tx_hash,block_number,gas_price_wei,gas_price_semantics
CSI-CHAIN-LOCAL-01,full-71a5854-20260925T115726Z-geth,full,L1-geth,Geth/v1.16.9-stable-95665d57/linux-arm64/go1.24.13,osaka,1337,primary,primary-groth16-d5,groth16,5,10,21,verify_proof_call,call,G16-d5-p7,7,30,A0,verifier,Groth16LegacyVerifierDepth5,0x5FbDB2315678afecb367f032d93F642f64180aa3,,,call,call,,,true,true,1,,292,3,1159,,,,,,,,,,,,024d66f792d9241cd6ae6f266bc9afd2d46efc8121690d56662f47852300733d,,,,bookkeeping_only
CSI-CHAIN-LOCAL-01,full-71a5854-20260925T115726Z-geth,full,L1-geth,Geth/v1.16.9-stable-95665d57/linux-arm64/go1.24.13,osaka,1337,primary,primary-groth16-d5,groth16,5,10,22,verify_proof_direct,tx,G16-d5-p0,0,2,A0,verifier,Groth16LegacyVerifierDepth5,0x5FbDB2315678afecb367f032d93F642f64180aa3,12,1000000,1,1,,,,,1,214597,292,1,1165,4660,32650,0,25660,188937,0,,,,,,38f356f938ae3972d0d16abf8b3d053f411f73f5e13f61d42c5093a3e09bf3e3,0x5b170932f10b1f123579bcc6091bfaf27e6f8395ca8ba177331c7eebf559b27c,15,1136772432,bookkeeping_only
CSI-CHAIN-LOCAL-01,full-71a5854-20260925T115726Z-geth,full,L1-geth,Geth/v1.16.9-stable-95665d57/linux-arm64/go1.24.13,osaka,1337,primary,primary-groth16-d5,groth16,5,10,23,verify_proof_direct,tx,G16-d5-p1,1,6,A0,verifier,Groth16LegacyVerifierDepth5,0x5FbDB2315678afecb367f032d93F642f64180aa3,13,1000000,1,1,,,,,1,214585,292,2,1162,4648,32620,0,25648,188937,0,,,,,,a370a18d9c39377115545ba9af7615da222dc733a39c1b2c32fb2b9c4b33086f,0x66281a351c3122ed563f2bac80f580694d5cb1ff482c4fb4231d734afe722bd7,16,1119798174,bookkeeping_only
CSI-CHAIN-LOCAL-01,full-71a5854-20260925T115726Z-geth,full,L1-geth,Geth/v1.16.9-stable-95665d57/linux-arm64/go1.24.13,osaka,1337,primary,primary-groth16-d5,groth16,5,10,24,verify_proof_direct,tx,G16-d5-p2,2,10,A0,verifier,Groth16LegacyVerifierDepth5,0x5FbDB2315678afecb367f032d93F642f64180aa3,14,1000000,1,1,,,,,1,214597,292,1,1165,4660,32650,0,25660,188937,0,,,,,,0d2d7d3aa3af7b66c607f41e3d721b8b42df5a3c86cee0d579ed2b26d5fed439,0x89577a180d3e2f219cd8e1cb42a094037b4646b0ef245d7e60e4540b5f41cc05,17,1104930515,bookkeeping_only
CSI-CHAIN-LOCAL-01,full-71a5854-20260925T115726Z-geth,full,L1-geth,Geth/v1.16.9-stable-95665d57/linux-arm64/go1.24.13,osaka,1337,primary,primary-groth16-d5,groth16,5,10,25,verify_proof_direct,tx,G16-d5-p3,3,14,A0,verifier,Groth16LegacyVerifierDepth5,0x5FbDB2315678afecb367f032d93F642f64180aa3,15,1000000,1,1,,,,,1,214597,292,1,1165,4660,32650,0,25660,188937,0,,,,,,0d788cabedc8faadf7f6192d7b7e3442591799b8d0f61f669d8e7044ff55b0d9,0x62621f68077ae46b0a48a283c58a4866ddc92e5731bb685e250777dde9171b24,18,1091908025,bookkeeping_only
CSI-CHAIN-LOCAL-01,full-71a5854-20260925T115726Z-geth,full,L1-geth,Geth/v1.16.9-stable-95665d57/linux-arm64/go1.24.13,osaka,1337,primary,primary-groth16-d5,groth16,5,10,26,verify_proof_direct,tx,G16-d5-p4,4,18,A0,verifier,Groth16LegacyVerifierDepth5,0x5FbDB2315678afecb367f032d93F642f64180aa3,16,1000000,1,1,,,,,1,214585,292,2,1162,4648,32620,0,25648,188937,0,,,,,,8591dd32989bc600ebb0687f8686fdfb4796e90641751cf75de255ad63d285cb,0xa088971fbf869c2d1687fe9906401212a51821350862772419a83bc07510065d,19,1080501702,bookkeeping_only
CSI-CHAIN-LOCAL-01,full-71a5854-20260925T115726Z-geth,full,L1-geth,Geth/v1.16.9-stable-95665d57/linux-arm64/go1.24.13,osaka,1337,primary,primary-groth16-d5,groth16,5,10,27,verify_proof_direct,tx,G16-d5-p5,5,22,A0,verifier,Groth16LegacyVerifierDepth5,0x5FbDB2315678afecb367f032d93F642f64180aa3,17,1000000,1,1,,,,,1,214597,292,1,1165,4660,32650,0,25660,188937,0,,,,,,dde6e93a83ef8d8c28aaca9695ecffbc6f440d9d59cb4af669fcab2919339b70,0x6563608c88abb98d06a3c01f9c5ee2e94fc954fdfab8b161b33ce8862e8c05ca,20,1070510967,bookkeeping_only
CSI-CHAIN-LOCAL-01,full-71a5854-20260925T115726Z-geth,full,L1-geth,Geth/v1.16.9-stable-95665d57/linux-arm64/go1.24.13,osaka,1337,primary,primary-groth16-d5,groth16,5,10,28,verify_proof_direct,tx,G16-d5-p6,6,26,A0,verifier,Groth16LegacyVerifierDepth5,0x5FbDB2315678afecb367f032d93F642f64180aa3,18,1000000,1,1,,,,,1,214585,292,2,1162,4648,32620,0,25648,188937,0,,,,,,134926e4c635b7604bf798d424277df349d6073939e82a9a7aef5eb94f449937,0x2d146755522134fb7481e62ca02f15ab2420fa57c688ff67fbf8fe3e0ebf7db8,21,1061760144,bookkeeping_only
CSI-CHAIN-LOCAL-01,full-71a5854-20260925T115726Z-geth,full,L1-geth,Geth/v1.16.9-stable-95665d57/linux-arm64/go1.24.13,osaka,1337,primary,primary-groth16-d5,groth16,5,10,29,verify_proof_direct,tx,G16-d5-p7,7,30,A0,verifier,Groth16LegacyVerifierDepth5,0x5FbDB2315678afecb367f032d93F642f64180aa3,19,1000000,1,1,,,,,1,214573,292,3,1159,4636,32590,0,25636,188937,0,,,,,,024d66f792d9241cd6ae6f266bc9afd2d46efc8121690d56662f47852300733d,0x35450d08125c8508cc76215e2ab16fff63957289aa11a4e28d9b077635537b1e,22,1054095347,bookkeeping_only
CSI-CHAIN-LOCAL-01,full-71a5854-20260925T115726Z-geth,full,L1-geth,Geth/v1.16.9-stable-95665d57/linux-arm64/go1.24.13,osaka,1337,primary,primary-groth16-d5,groth16,5,10,30,neg_unknown_root,tx,G16-d10-p0,0,64,A0,manager,CredentialManagerGroth16,0xe7f1725E7734CE288F8367e1Bb143E90bb3F0512,20,3000000,0,0,Invalid root,Invalid root,,,1,32590,292,3,1159,4636,32590,0,25636,6954,1,,,,,,9730c9450f195fc730e64f4d7205cbf45b26ff9f17580d9d401e13400ba0e3aa,0x76abd06ceee04b9a7792caedb6ffaaa5445c5f3f17d83ab54f257471bb815d5a,23,1047381793,bookkeeping_only
