cell_id,op,proof_id,op_seq,kind,expected_status,status,revert_reason,return_value,computational_gas,pubdata_bytes,pubdata_gas,gas_per_pubdata,gas_used,calldata_bytes,calldata_sha256,bytecode_bytes,bytecode_hash,contract_address,tx_hash,block_number
primary-plonk-d10,set_issuer,,3,tx,1,1,,,124461,51,4284,84,128726,68,727fd06686258f939093f54b4f3c375b0f3052da4ba7867e73d6f93a90702a06,,,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,0x713564879c8aff6031e6624c8058f345711ab28df94e9be12b15a64f20b02b53,5
primary-plonk-d10,add_root,,4,tx,1,1,,,124781,51,4284,84,129046,36,c70e0fc0dcce1b144b1b3352307a21f93a93f2fce4e70bc9dec9627a6e721205,,,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,0x2e453c3dbcfe5b81e50259da72bb3c08a6cea04f063723fed6747de0d9caa191,7
primary-plonk-d10,precheck_call,PLK-d10-p0,5,call,call,call,,true,,,,,,804,6bf3a0d41decfc4fef1c2d1b8f63a8e574b03afc39ee5228c6ae46acbaf08690,,,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,,
primary-plonk-d10,verify_credential,PLK-d10-p0,6,tx,1,1,,true,453699,18,1512,84,455204,804,6bf3a0d41decfc4fef1c2d1b8f63a8e574b03afc39ee5228c6ae46acbaf08690,,,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,0xe4f281fb70e73f9e366e63373e71ece2348dfedf9611822d74b076a94af7b23f,9
primary-plonk-d10,verify_proof_call,PLK-d10-p0,7,call,call,call,,true,,,,,,804,90dd66bcd72c6143529772c40d979cb44dfc9cc4e0b417de520a01bb3ca89f57,,,0x588758d8a0Ad1162A6294f3C274753137E664aE0,,
primary-plonk-d10,verify_proof_direct,PLK-d10-p0,8,tx,1,1,,true,446250,18,1512,84,447755,804,90dd66bcd72c6143529772c40d979cb44dfc9cc4e0b417de520a01bb3ca89f57,,,0x588758d8a0Ad1162A6294f3C274753137E664aE0,0xa60f80d4bad9d7746d464080191d06c57688b2356939cda4bc9ca47b64cf80df,11
primary-plonk-d10,neg_unknown_root,PLK-d11-p0,9,tx,0,0,Invalid root,,118760,18,1512,84,120265,804,2b47235792217a37372089e141f1674bb5844d874e984fef7f6c13e2fa66e3e7,,,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,0xb5592e410c5c11b17ae8d5b40487e4d78eb4603a04fd5131e050b0991423b99d,13
primary-plonk-d10,neg_tampered_call,PLK-d10-p0,10,call,call,call,,false,,,,,,804,7298d00100b91f13f56ed67d511c63cab017f9347f6ea0983816ceee97736554,,,0x588758d8a0Ad1162A6294f3C274753137E664aE0,,
primary-plonk-d10,neg_tampered,PLK-d10-p0,11,tx,0,0,Invalid proof,,453266,18,1512,84,454771,804,6c6dee1d12c1395c4899f84403f155966011720bfc990c6f2dd8bd041da1cf33,,,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,0x441ca96e42d46fc24f2b04e2112d11ca0af76ca10c3ae397b3cd80d6a35cee93,15
primary-plonk-d10,neg_cross_depth_setup,PLK-d11-p0,12,tx,1,1,,,124781,51,4284,84,129046,36,d02fee54c295d1b5cc2948d9c79837ece40c0013835e3b9bb349e94ae744e758,,,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,0x798bc49fba7b4d37340bf760fad852510e68d2927f5c6a95ccb9c83ab7f1aaa3,17
primary-plonk-d10,neg_cross_depth_call,PLK-d11-p0,13,call,call,call,,false,,,,,,804,42d9b2d20d72d206abba5097ac76532b8062090f8cea9f4e0c2a8d9b6861d838,,,0x588758d8a0Ad1162A6294f3C274753137E664aE0,,
primary-plonk-d10,neg_cross_depth,PLK-d11-p0,14,tx,0,0,Invalid proof,,452396,18,1512,84,453901,804,2b47235792217a37372089e141f1674bb5844d874e984fef7f6c13e2fa66e3e7,,,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,0x69e3feda45fb665b607e2e35bd0331f0798b6cfe8caecd11d1381f2453554895,19
primary-plonk-d10,neg_non_issuer,PLK-d10-p0,15,tx,0,0,CredentialManager: not issuer,,118583,45,3780,84,122346,36,c70e0fc0dcce1b144b1b3352307a21f93a93f2fce4e70bc9dec9627a6e721205,,,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,0x299db5580b5eb3bcffef33cf6b28034cc9c4ad819016fd11799c90a539316c48,21
