cell_id,profile,backend,depth,n_proofs,deploy_verifier_gas,verifier_initcode_bytes,verifier_runtime_bytes,deploy_manager_gas,manager_initcode_bytes,manager_runtime_bytes,set_issuer_gas,add_root_gas,verify_credential_gas_min,verify_credential_gas_max,verify_proof_direct_gas_min,verify_proof_direct_gas_max,verify_credential_exec_min,verify_credential_exec_max,verify_proof_direct_exec_min,verify_proof_direct_exec_max,calldata_bytes_verify,all_checks_pass,negatives
primary-groth16-d5,primary,groth16,5,8,350084,1406,1374,565248,2410,2140,47900,47334,223934,223958,214573,214597,198298,198298,188937,188937,292,True,"neg_unknown_root=0:Invalid root;neg_tampered_call=call:false;neg_tampered=0:Invalid proof;neg_cross_depth_setup=1:;neg_cross_depth_call=call:false;neg_cross_depth=0:Invalid proof;neg_non_issuer=0:CredentialManager: not issuer"
primary-groth16-d10,primary,groth16,10,8,350072,1406,1374,565248,2410,2140,47900,47346,223934,223970,214573,214609,198298,198298,188937,188937,292,True,"neg_unknown_root=0:Invalid root;neg_tampered_call=call:false;neg_tampered=0:Invalid proof;neg_cross_depth_setup=1:;neg_cross_depth_call=call:false;neg_cross_depth=0:Invalid proof;neg_non_issuer=0:CredentialManager: not issuer"
primary-groth16-d11,primary,groth16,11,8,349628,1404,1372,565248,2410,2140,47900,47334,223934,223958,214573,214597,198298,198298,188937,188937,292,True,"neg_unknown_root=0:Invalid root;neg_tampered_call=call:false;neg_tampered=0:Invalid proof;neg_cross_depth_setup=1:;neg_cross_depth_call=call:false;neg_cross_depth=0:Invalid proof;neg_non_issuer=0:CredentialManager: not issuer"
primary-groth16-d15,primary,groth16,15,8,350060,1406,1374,565248,2410,2140,47900,47346,223946,223970,214585,214609,198298,198298,188937,188937,292,True,"neg_unknown_root=0:Invalid root;neg_tampered_call=call:false;neg_tampered=0:Invalid proof;neg_cross_depth_setup=1:;neg_cross_depth_call=call:false;neg_cross_depth=0:Invalid proof;neg_non_issuer=0:CredentialManager: not issuer"
primary-plonk-d5,primary,plonk,5,8,1222665,5447,5415,541930,2302,2032,47900,47334,299397,301023,290398,292024,265617,267183,256618,258184,804,True,"neg_unknown_root=0:Invalid root;neg_tampered_call=call:false;neg_tampered=0:Invalid proof;neg_cross_depth_setup=1:;neg_cross_depth_call=call:false;neg_cross_depth=0:Invalid proof;neg_non_issuer=0:CredentialManager: not issuer"
primary-plonk-d10,primary,plonk,10,8,1222173,5445,5413,541930,2302,2032,47900,47346,298613,302063,289614,293064,264785,268223,255786,259224,804,True,"neg_unknown_root=0:Invalid root;neg_tampered_call=call:false;neg_tampered=0:Invalid proof;neg_cross_depth_setup=1:;neg_cross_depth_call=call:false;neg_cross_depth=0:Invalid proof;neg_non_issuer=0:CredentialManager: not issuer"
primary-plonk-d11,primary,plonk,11,8,1226937,5467,5435,541930,2302,2032,47900,47334,298644,300650,289645,291651,264840,266822,255841,257823,804,True,"neg_unknown_root=0:Invalid root;neg_tampered_call=call:false;neg_tampered=0:Invalid proof;neg_cross_depth_setup=1:;neg_cross_depth_call=call:false;neg_cross_depth=0:Invalid proof;neg_non_issuer=0:CredentialManager: not issuer"
primary-plonk-d15,primary,plonk,15,8,1226937,5467,5435,541930,2302,2032,47900,47346,299476,300870,290477,291871,265672,267030,256673,258031,804,True,"neg_unknown_root=0:Invalid root;neg_tampered_call=call:false;neg_tampered=0:Invalid proof;neg_cross_depth_setup=1:;neg_cross_depth_call=call:false;neg_cross_depth=0:Invalid proof;neg_non_issuer=0:CredentialManager: not issuer"
bridge-groth16-d11,bridge,groth16,11,8,384793,1567,1535,1525514,7758,6531,48410,51326,239217,239241,214782,214806,213581,213581,189146,189146,292,True,"neg_unknown_root=0:Invalid root;neg_tampered_call=call:false;neg_tampered=0:Invalid proof;neg_cross_depth_setup=1:;neg_cross_depth_call=call:false;neg_cross_depth=0:Invalid proof;neg_non_issuer=0:CredentialManager: not issuer"
