cell_id,profile,backend,depth,k,verifier,manager,deploy_verifier_gas,deploy_verifier_intrinsic,deploy_verifier_exec,deploy_verifier_code_deposit,verifier_initcode_bytes,verifier_runtime_bytes,deploy_manager_gas,deploy_manager_intrinsic,deploy_manager_exec,deploy_manager_code_deposit,manager_initcode_bytes,manager_runtime_bytes,set_issuer_gas,add_root_gas,verify_credential_gas_min,verify_credential_gas_max,verify_credential_gas_range,verify_credential_exec_min,verify_credential_exec_max,verify_proof_direct_gas_min,verify_proof_direct_gas_max,verify_proof_direct_gas_range,verify_proof_direct_exec_min,verify_proof_direct_exec_max,manager_overhead_gas_min,manager_overhead_gas_max,manager_overhead_exec_min,manager_overhead_exec_max,verify_credential_calldata_bytes,verify_credential_calldata_zero_bytes_min,verify_credential_calldata_zero_bytes_max,verify_credential_intrinsic_min,verify_credential_intrinsic_max,floor_binding_any,negatives_as_expected
primary-groth16-d5,primary,groth16,5,8,Groth16LegacyVerifierDepth5,CredentialManagerGroth16,350084,74972,275112,274800,1406,1374,565248,90704,474544,428000,2410,2140,47900,47334,223934,223958,24,198298,198298,214573,214597,24,188937,188937,9361,9361,9361,9361,292,1,3,25636,25660,1,1
primary-groth16-d10,primary,groth16,10,8,Groth16LegacyVerifierDepth10,CredentialManagerGroth16,350072,74960,275112,274800,1406,1374,565248,90704,474544,428000,2410,2140,47900,47346,223934,223970,36,198298,198298,214573,214609,36,188937,188937,9361,9361,9361,9361,292,0,3,25636,25672,1,1
primary-groth16-d11,primary,groth16,11,8,Groth16LegacyVerifierDepth11,CredentialManagerGroth16,349628,74916,274712,274400,1404,1372,565248,90704,474544,428000,2410,2140,47900,47334,223934,223958,24,198298,198298,214573,214597,24,188937,188937,9361,9361,9361,9361,292,1,3,25636,25660,1,1
primary-groth16-d15,primary,groth16,15,8,Groth16LegacyVerifierDepth15,CredentialManagerGroth16,350060,74948,275112,274800,1406,1374,565248,90704,474544,428000,2410,2140,47900,47346,223946,223970,24,198298,198298,214585,214609,24,188937,188937,9361,9361,9361,9361,292,0,2,25648,25672,1,1
primary-plonk-d5,primary,plonk,5,8,PlonkVerifierDepth5,CredentialManagerPlonk,1222665,138538,1084127,1083000,5447,5415,541930,89004,452926,406400,2302,2032,47900,47334,299397,301023,1626,265617,267183,290398,292024,1626,256618,258184,8999,8999,8999,8999,804,2,7,33780,33840,1,1
primary-plonk-d10,primary,plonk,10,8,PlonkVerifierDepth10,CredentialManagerPlonk,1222173,138446,1083727,1082600,5445,5413,541930,89004,452926,406400,2302,2032,47900,47346,298613,302063,3450,264785,268223,289614,293064,3450,255786,259224,8999,8999,8999,8999,804,1,4,33816,33852,1,1
primary-plonk-d11,primary,plonk,11,8,PlonkVerifierDepth11,CredentialManagerPlonk,1226937,138810,1088127,1087000,5467,5435,541930,89004,452926,406400,2302,2032,47900,47334,298644,300650,2006,264840,266822,289645,291651,2006,255841,257823,8999,8999,8999,8999,804,3,6,33792,33828,1,1
primary-plonk-d15,primary,plonk,15,8,PlonkVerifierDepth15,CredentialManagerPlonk,1226937,138810,1088127,1087000,5467,5435,541930,89004,452926,406400,2302,2032,47900,47346,299476,300870,1394,265672,267030,290477,291871,1394,256673,258031,8999,8999,8999,8999,804,1,5,33804,33852,1,1
bridge-groth16-d11,bridge,groth16,11,8,Groth16LegacyVerifierDepth11,CredentialManager,384793,77450,307343,307000,1567,1535,1525514,167630,1357884,1306200,7758,6531,48410,51326,239217,239241,24,213581,213581,214782,214806,24,189146,189146,24435,24435,24435,24435,292,1,3,25636,25660,0,1
