campaign_id,arm,run_id,plan,env,node_version,protocol_version,chain_id,profile,cell_id,backend,depth,partner_depth,op_seq,op,kind,proof_id,proof_j,leaf_index,from_account,to_contract,contract_name,contract_address,nonce,tx_type,gas_limit,gas_per_pubdata_limit,max_fee_per_gas_wei,expected_status,status,expected_revert,revert_reason,expected_return,return_value,check_pass,computational_gas,pubdata_bytes,pubdata_gas,gas_per_pubdata,gas_used,gas_used_derived,fee_trace_gas_limit,accounting_ok,calldata_bytes,calldata_sha256,raw_tx_bytes,factory_deps,bytecode_bytes,bytecode_hash,bytecode_matches_artifact,tx_hash,block_number,l1_batch_number,block_timestamp,effective_gas_price_wei,fee_semantics
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d5,groth16,5,10,11,verify_proof_direct,tx,G16-d5-p1,1,6,A0,verifier,Groth16LegacyVerifierDepth5,0x588758d8a0Ad1162A6294f3C274753137E664aE0,7,113,10000000,50000,45250000,1,1,,,true,true,1,444311,18,1512,84,445816,445816,10000000,1,292,a370a18d9c39377115545ba9af7615da222dc733a39c1b2c32fb2b9c4b33086f,437,0,,,,0xc15398f19a01520a267fdd64695259d01a5c728909be6dee32fc7108f7396239,15,8,1015,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d5,groth16,5,10,12,neg_unknown_root,tx,G16-d10-p0,0,64,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,8,113,10000000,50000,45250000,0,0,Invalid root,Invalid root,,,1,118680,18,1512,84,120185,120185,10000000,1,292,9730c9450f195fc730e64f4d7205cbf45b26ff9f17580d9d401e13400ba0e3aa,437,0,,,,0x28aa8c548512c163869a7b29cda65c7475fb975dadf855446134480bc25a817b,17,9,1017,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d5,groth16,5,10,13,neg_tampered_call,call,G16-d5-p0,0,2,A0,verifier,Groth16LegacyVerifierDepth5,0x588758d8a0Ad1162A6294f3C274753137E664aE0,,,,,,call,call,,,false,false,1,,,,,,,,,292,5169eaca91f388b9c453d6920bfc9ce86df4f28ac6f0c930b136dab1d05064cc,,,,,,,,,,,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d5,groth16,5,10,14,neg_tampered,tx,G16-d5-p0,0,2,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,9,113,10000000,50000,45250000,0,0,Invalid proof,Invalid proof,,,1,451051,18,1512,84,452556,452556,10000000,1,292,3706b086d0a5ec6b62119ecca236a168e121207ecd0d35c0be12cc6ee34c92c1,437,0,,,,0xcc2715f5de3152abc4822d97527a2f9357d23ea72beb610a2b857b57926021dd,19,10,1019,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d5,groth16,5,10,15,neg_cross_depth_setup,tx,G16-d10-p0,0,64,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,10,113,2000000,50000,45250000,1,1,,,,,1,124797,51,4284,84,129062,129062,2000000,1,36,c70e0fc0dcce1b144b1b3352307a21f93a93f2fce4e70bc9dec9627a6e721205,178,0,,,,0x09f0974eb91b8077a6593f3151b0abed4ef37f184aa835d998a36b91bf5ab890,21,11,1021,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d5,groth16,5,10,16,neg_cross_depth_call,call,G16-d10-p0,0,64,A0,verifier,Groth16LegacyVerifierDepth5,0x588758d8a0Ad1162A6294f3C274753137E664aE0,,,,,,call,call,,,false,false,1,,,,,,,,,292,00d891db3117c020bf1d8ac8aacda4825f46fbd4c9b717316cfac8afe0a258f1,,,,,,,,,,,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d5,groth16,5,10,17,neg_cross_depth,tx,G16-d10-p0,0,64,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,11,113,10000000,50000,45250000,0,0,Invalid proof,Invalid proof,,,1,451089,18,1512,84,452594,452594,10000000,1,292,9730c9450f195fc730e64f4d7205cbf45b26ff9f17580d9d401e13400ba0e3aa,437,0,,,,0x9c8499e3d1bc7fd9d6bea571425cb562ec87fbdf10929cefa1d20dd20b3bd37f,23,12,1023,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d5,groth16,5,10,18,neg_non_issuer,tx,G16-d5-p0,0,2,A1,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,0,113,2000000,50000,45250000,0,0,CredentialManager: not issuer,CredentialManager: not issuer,,,1,118599,45,3780,84,122362,122362,2000000,1,36,b91c4cff980f8874fb8d0fca3dd2b3046defc125bb26b20f9f41f40dec3d44ad,178,0,,,,0x9942be09712475aea01e4b86ff7e929c5dc4cf38deddf130e36a735872b26093,25,13,1025,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d11,groth16,11,15,1,deploy_verifier,tx,,,,A0,,Groth16LegacyVerifierDepth11,0x588758d8a0Ad1162A6294f3C274753137E664aE0,0,113,20000000,50000,45250000,1,1,,,,,1,487466,3371,283164,84,769405,769405,20000000,1,132,44902f4c5418adc4f6045353bef005634115a381bd55c4251a7ee58b10447d67,3322,1,3040,0x0100005f89c4cefae9b82d938e5f49479fd773521ddfd615284396aa1bbb65c1,1,0x53f7c4e2bdf65769f708a35582000f0c4703f7c9376c82cc133ec3cab8ceb103,1,1,1001,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d11,groth16,11,15,2,deploy_manager,tx,,,,A0,,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,1,113,20000000,50000,45250000,1,1,,,,,1,730737,5389,452676,84,1181454,1181454,20000000,1,164,a7a9ebb5b6128cae73685632e104199605917f6da6298e585bd96b4abfb483a3,7066,1,6752,0x010000d37155e3640948296be420258a2e1a98adb16b55738b817247e9fd54eb,1,0x8c110816e7925ea29a351117dd169a87e466e2a5d8c5c6e0c8321ff79f631cf9,3,2,1003,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d11,groth16,11,15,3,set_issuer,tx,,,,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,2,113,2000000,50000,45250000,1,1,,,,,1,124477,51,4284,84,128742,128742,2000000,1,68,727fd06686258f939093f54b4f3c375b0f3052da4ba7867e73d6f93a90702a06,211,0,,,,0x713564879c8aff6031e6624c8058f345711ab28df94e9be12b15a64f20b02b53,5,3,1005,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d11,groth16,11,15,4,add_root,tx,,,,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,3,113,2000000,50000,45250000,1,1,,,,,1,124797,51,4284,84,129062,129062,2000000,1,36,d02fee54c295d1b5cc2948d9c79837ece40c0013835e3b9bb349e94ae744e758,178,0,,,,0x78ed6108833b2bdd949625441f20040c10ccacc566939dd23b2255e5cbc5e519,7,4,1007,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d11,groth16,11,15,5,precheck_call,call,G16-d11-p0,0,128,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,,,,,,call,call,,,true,true,1,,,,,,,,,292,ca9621b912a5f11cbb8dd875c48c9971287be9dbbe4454fcd36230ca7d465efc,,,,,,,,,,,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d11,groth16,11,15,6,verify_credential,tx,G16-d11-p0,0,128,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,4,113,10000000,50000,45250000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,10000000,1,292,ca9621b912a5f11cbb8dd875c48c9971287be9dbbe4454fcd36230ca7d465efc,437,0,,,,0xb51e3cd80f8c813798dc9046105b6842fba3121ce5a1aa7ba5cb766312512349,9,5,1009,45250000,local_fixed_fee_input_derived
CSI-CHAIN-LOCAL-01,L2-EraVM,dry-l2-3e0f6c8-20260925T125852Z-b,dry,L2-EraVM-anvil-zksync,anvil-zksync 0.6.11,Version29,260,primary,primary-groth16-d11,groth16,11,15,7,verify_credential,tx,G16-d11-p1,1,384,A0,manager,CredentialManagerGroth16,0x6B828bcb33305478cd7d27eB323F5C5B7b4aFdbe,5,113,10000000,50000,45250000,1,1,,,true,true,1,451324,18,1512,84,452829,452829,10000000,1,292,639c80471b559309e712f4c4ac80bdbc80d6df2460bd4c3bf55546677a3942c6,437,0,,,,0xd673b82b87a27576d2c9a6b7f474c0cb7a484006d19cf4238e3f4d9509658921,11,6,1011,45250000,local_fixed_fee_input_derived
