network,depth,step,txHash,status,gasUsed,gasPriceWei,gasPriceGwei,feeWei,feeEth,verifier,credentialManager
zkSyncSepolia,5,"deploy Verifier",0x355c53e541954881cc1faf4e7631bc12ca89864987be26a485e502a5987acb8d,success,3685065,25000000,0.025,92126625000000,0.000092126625,0x0C10423984f3C4B8af9E69d293AD9A44AAf3Df86,0x3D11895D0BB719AcF7B0D995ED19953388318B82
zkSyncSepolia,5,"deploy CredentialManager",0x1e1e713918a2b280b275490dc2ad0efa3ca8f7d2afb1a81282f28a9132da4997,success,9121667,25000000,0.025,228041675000000,0.000228041675,0x0C10423984f3C4B8af9E69d293AD9A44AAf3Df86,0x3D11895D0BB719AcF7B0D995ED19953388318B82
zkSyncSepolia,5,"addRoot",0x6f292dc9b79e67e282092640cf1f4650296d62d388f7c93bd41e0b053a9fbb97,success,220961,25000000,0.025,5524025000000,0.000005524025,0x0C10423984f3C4B8af9E69d293AD9A44AAf3Df86,0x3D11895D0BB719AcF7B0D995ED19953388318B82
