campaign_id,run_id,mode,protocol_sha256,harness_commit,inputs_manifest_sha256,session_id,phase,block_id,block_position,pair_id,schedule_id,op,backend,depth,proof_id,network,chain_id,provider_label,endpoint_host,endpoint_url_sha256,observation_id,signer_address,contract_role,contract_name,to_address,contract_address,artifact_sha256,calldata_sha256,calldata_bytes,factory_deps,bytecode_hash,tx_type,nonce,gas_limit,max_fee_per_gas,max_priority_fee_per_gas,gas_per_pubdata_limit,fee_rule,prep_block_number,prep_base_fee_per_gas,est_gas_limit,est_max_fee_per_gas,est_max_priority_fee_per_gas,est_gas_per_pubdata_limit,rpc_gas_price,fee_params_sha256,balance_before_latest,balance_required,raw_tx_sha256,raw_tx_bytes,tx_hash_local,tx_hash,tx_hash_matches,t_prepare_utc,t0_utc,t_hash_utc,t_receipt_utc,t_prepare_mono_ms,t0_mono_ms,t_hash_mono_ms,t_receipt_mono_ms,prepare_to_send_ms,send_to_hash_ms,hash_to_receipt_ms,request_to_receipt_ms,poll_interval_ms,polls,poll_errors,block_at_hash,block_at_hash_utc,inclusion_block,inclusion_block_hash,inclusion_block_timestamp,inclusion_block_time_utc,inclusion_block_base_fee,receipt_status,gas_used,effective_gas_price,receipt_fee_wei,expected_effective_gas_price,effective_price_ok,balance_before_block,balance_after_block,balance_delta_wei,fee_consistency_diff_wei,fee_consistency_ok,l1_batch_number,l1_batch_tx_index,era_details_status,era_details_fee,era_details_gas_per_pubdata,era_details_fee_ok,runtime_code_sha256,runtime_matches_artifact,revert_reason,state,error_class,error_message,notes
CSI-CHAIN-PUBLIC-01,dry-S3-6827943-20260925T164624Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,S3,verification,S3-SEP,1,S3-SEP-P1,S3-SEP-1,verify_credential,plonk,11,PLK-d11-p0,sepolia,11155111,dry-run mock (Ethereum-like),127.0.0.1:43623,f18592de97543a308738f7c6474f7e7473c4fb9cf524fb760f4010b7156b398a,f83c69e79ed61ae0,0x05532f4E5817a94f109a213B92b2E08F714b4205,manager,CredentialManagerPlonk,0x301f8EfBA0C5e51d6fbBc8528C121F9272099098,,,2b47235792217a37372089e141f1674bb5844d874e984fef7f6c13e2fa66e3e7,804,0,,2,16,1000000,4000000000,1000000000,,sepolia: maxFee = 2*baseFee(latest) + P; gasLimit fixed,25,1500000000,,,,,,,9987575422500000000,4000000000000000,e6b884fa22cab0df0efc2ba8032f616b341fad91730d49f7e5af938235b907ab,920,0xa41f89adc7f7eaeef638d74ae857cc58e9ad50e49f4baafeb42afc1639560b6c,0xa41f89adc7f7eaeef638d74ae857cc58e9ad50e49f4baafeb42afc1639560b6c,1,2026-09-25T16:46:24.638Z,2026-09-25T16:46:24.643Z,2026-09-25T16:46:24.644Z,2026-09-25T16:46:25.653Z,192.348,196.626,198.206,1206.997,4.278,1.58,1008.791,1010.371,500,3,0,25,2026-09-25T16:46:24.644Z,26,0xd16f392644b7cfde67f7b6eb6377aaf186fdc181b1b048170f54ac3049a4a344,1790354785,2026-09-25T16:46:25.000Z,1500000000,1,300026,2500000000,750065000000000,2500000000,1,9987575422500000000,9986825357500000000,750065000000000,0,1,,,,,,,,,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-S3-6827943-20260925T164624Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,S3,verification,S3-SEP,2,S3-SEP-P1,S3-SEP-2,verify_credential,groth16,11,G16-d11-p0,sepolia,11155111,dry-run mock (Ethereum-like),127.0.0.1:43623,f18592de97543a308738f7c6474f7e7473c4fb9cf524fb760f4010b7156b398a,f83c69e79ed61ae0,0x05532f4E5817a94f109a213B92b2E08F714b4205,manager,CredentialManagerGroth16,0xF9C8A6aC4dDAa850da44FbbFC4Cb059e90B0484B,,,ca9621b912a5f11cbb8dd875c48c9971287be9dbbe4454fcd36230ca7d465efc,292,0,,2,17,1000000,4000000000,1000000000,,sepolia: maxFee = 2*baseFee(latest) + P; gasLimit fixed,26,1500000000,,,,,,,9986825357500000000,4000000000000000,634759cfc03e23170416a4b12d19110c95b32035990b4c61aeb32c81dc4ef9cf,408,0xffbd0a389ca51a5acb13b76edf663324954c51cbff1a6b9f47b1dee6a44ff015,0xffbd0a389ca51a5acb13b76edf663324954c51cbff1a6b9f47b1dee6a44ff015,1,2026-09-25T16:46:25.661Z,2026-09-25T16:46:25.664Z,2026-09-25T16:46:25.668Z,2026-09-25T16:46:26.679Z,1214.704,1218.551,1221.745,2232.897,3.847,3.194,1011.152,1014.346,500,3,0,26,2026-09-25T16:46:25.668Z,27,0xa8876f6c8c5ca83eb399728fc6385d9ad4f26cf1238b68098368d92f3db20c75,1790354786,2026-09-25T16:46:26.000Z,1500000000,1,223946,2500000000,559865000000000,2500000000,1,9986825357500000000,9986265492500000000,559865000000000,0,1,,,,,,,,,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-S3-6827943-20260925T164624Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,S3,verification,S3-SEP,3,S3-SEP-P2,S3-SEP-3,verify_credential,plonk,11,PLK-d11-p1,sepolia,11155111,dry-run mock (Ethereum-like),127.0.0.1:43623,f18592de97543a308738f7c6474f7e7473c4fb9cf524fb760f4010b7156b398a,f83c69e79ed61ae0,0x05532f4E5817a94f109a213B92b2E08F714b4205,manager,CredentialManagerPlonk,0x301f8EfBA0C5e51d6fbBc8528C121F9272099098,,,a298ee5b1ea8679aadf74fcb657d46d87472c6f0fdc20c3fb76317acbb8dc10b,804,0,,2,18,1000000,4000000000,1000000000,,sepolia: maxFee = 2*baseFee(latest) + P; gasLimit fixed,27,1500000000,,,,,,,9986265492500000000,4000000000000000,42b26125f96593925eb27267a2fdb751e7345253f02b54bb931e7a68846b3bf2,920,0xe3dbcd99d6c0e03c168381dc819a1c9a624bf0c068c47658e20c32d92e3aab1e,0xe3dbcd99d6c0e03c168381dc819a1c9a624bf0c068c47658e20c32d92e3aab1e,1,2026-09-25T16:46:26.683Z,2026-09-25T16:46:26.688Z,2026-09-25T16:46:26.692Z,2026-09-25T16:46:27.699Z,2237.513,2241.897,2245.626,3254.461,4.384,3.729,1008.835,1012.564,500,3,0,27,2026-09-25T16:46:26.692Z,28,0x1aa98420a901b8cb8c6a2e0bb4f476f93fbad992a6005dacec3dd7cd87d0da75,1790354787,2026-09-25T16:46:27.000Z,1500000000,1,299880,2500000000,749700000000000,2500000000,1,9986265492500000000,9985515792500000000,749700000000000,0,1,,,,,,,,,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-S3-6827943-20260925T164624Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,S3,verification,S3-SEP,4,S3-SEP-P2,S3-SEP-4,verify_credential,groth16,11,G16-d11-p1,sepolia,11155111,dry-run mock (Ethereum-like),127.0.0.1:43623,f18592de97543a308738f7c6474f7e7473c4fb9cf524fb760f4010b7156b398a,f83c69e79ed61ae0,0x05532f4E5817a94f109a213B92b2E08F714b4205,manager,CredentialManagerGroth16,0xF9C8A6aC4dDAa850da44FbbFC4Cb059e90B0484B,,,639c80471b559309e712f4c4ac80bdbc80d6df2460bd4c3bf55546677a3942c6,292,0,,2,19,1000000,4000000000,1000000000,,sepolia: maxFee = 2*baseFee(latest) + P; gasLimit fixed,28,1500000000,,,,,,,9985515792500000000,4000000000000000,9a8beba305746cefbf19ccea82ec3489257620a191a56017af6615506352d375,408,0x9b882ad33d4d5645ec214e014749ddc5359a6b43b0522b86f50189b2b1e91f49,0x9b882ad33d4d5645ec214e014749ddc5359a6b43b0522b86f50189b2b1e91f49,1,2026-09-25T16:46:27.704Z,2026-09-25T16:46:27.709Z,2026-09-25T16:46:27.712Z,2026-09-25T16:46:28.721Z,3259.659,3264.244,3267.666,4276.279,4.585,3.422,1008.613,1012.035,500,3,0,28,2026-09-25T16:46:27.713Z,29,0x9d178fe226b750fa379a7c5fb0bce6a6e2c1a1715288aa00fc57e6e084141c9b,1790354788,2026-09-25T16:46:28.000Z,1500000000,1,223958,2500000000,559895000000000,2500000000,1,9985515792500000000,9984955897500000000,559895000000000,0,1,,,,,,,,,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-S3-6827943-20260925T164624Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,S3,verification,S3-ERA,1,S3-ERA-P1,S3-ERA-1,verify_credential,groth16,11,G16-d11-p1,era-sepolia,300,dry-run mock (Era-like),127.0.0.1:34911,18816df0acf5206996833e1e79dc15edc5d047fb3ac0901d9638b22ca3398a9f,f7d38985c3ed24e8,0x05532f4E5817a94f109a213B92b2E08F714b4205,manager,CredentialManagerGroth16,0xc2247022C38a59152864310597F9e008cc183dFA,,,639c80471b559309e712f4c4ac80bdbc80d6df2460bd4c3bf55546677a3942c6,292,0,,113,16,588593,25000000,0,50000,era: zks_estimateFee values unchanged,,,588593,25000000,0,50000,25000000,e5a391184f4f0a9fa89f28592708106e1400aa2c33c8433e27b4140596b291b0,9999697518150000000,14714825000000,40b3197274dd8b2c334c1832be4893bacdc6f24b3972cba45317dfe7857cef6d,437,0xf7b583d40cb35cc1fde78a417f3a2e28976b5f2256c88310fcd271a7defd45e4,0xf7b583d40cb35cc1fde78a417f3a2e28976b5f2256c88310fcd271a7defd45e4,1,2026-09-25T16:46:28.742Z,2026-09-25T16:46:28.747Z,2026-09-25T16:46:28.751Z,2026-09-25T16:46:29.256Z,4296.86,4302.58,4305.814,4811.297,5.72,3.234,505.483,508.717,500,2,0,97,2026-09-25T16:46:28.751Z,98,0xede9f9226faf08d6e6de7db20e3f0fadd8e170aa3a6b4604589f426da3940a7b,1790354857,2026-09-25T16:47:37.000Z,25000000,1,452764,25000000,11319100000000,,,9999697518150000000,9999686199050000000,11319100000000,0,1,33,0,included,11319100000000,80,1,,,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-S3-6827943-20260925T164624Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,S3,verification,S3-ERA,2,S3-ERA-P1,S3-ERA-2,verify_credential,plonk,11,PLK-d11-p0,era-sepolia,300,dry-run mock (Era-like),127.0.0.1:34911,18816df0acf5206996833e1e79dc15edc5d047fb3ac0901d9638b22ca3398a9f,f7d38985c3ed24e8,0x05532f4E5817a94f109a213B92b2E08F714b4205,manager,CredentialManagerPlonk,0xA1B93a71d74cd2062172e9dBD434DF3B3212ab4B,,,2b47235792217a37372089e141f1674bb5844d874e984fef7f6c13e2fa66e3e7,804,0,,113,17,590729,25000000,0,50000,era: zks_estimateFee values unchanged,,,590729,25000000,0,50000,25000000,4599f543d7ea4f72faa66eb4eb354f26b9ada4726ba8bf3baba1a8ea0d72e174,9999686199050000000,14768225000000,2c905aaf6b5931df991f04e42c9b0d56275844ba024281827493ee79aeb8c40a,949,0x394d8389610c80f8915d75bd793481d4aa6c05c6f7c10f7c256492863e7858d4,0x394d8389610c80f8915d75bd793481d4aa6c05c6f7c10f7c256492863e7858d4,1,2026-09-25T16:46:29.261Z,2026-09-25T16:46:29.266Z,2026-09-25T16:46:29.270Z,2026-09-25T16:46:29.778Z,4816.468,4821.162,4825.224,5333.354,4.694,4.062,508.13,512.192,500,2,0,99,2026-09-25T16:46:29.271Z,100,0xdd51e32c6ac7ce8cd5ed241de45eb6bace9bc4a940504806b5dd53f01ab8d818,1790354859,2026-09-25T16:47:39.000Z,25000000,1,454407,25000000,11360175000000,,,9999686199050000000,9999674838875000000,11360175000000,0,1,34,0,included,11360175000000,80,1,,,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-S3-6827943-20260925T164624Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,S3,verification,S3-ERA,3,S3-ERA-P2,S3-ERA-3,verify_credential,groth16,11,G16-d11-p0,era-sepolia,300,dry-run mock (Era-like),127.0.0.1:34911,18816df0acf5206996833e1e79dc15edc5d047fb3ac0901d9638b22ca3398a9f,f7d38985c3ed24e8,0x05532f4E5817a94f109a213B92b2E08F714b4205,manager,CredentialManagerGroth16,0xc2247022C38a59152864310597F9e008cc183dFA,,,ca9621b912a5f11cbb8dd875c48c9971287be9dbbe4454fcd36230ca7d465efc,292,0,,113,18,588593,25000000,0,50000,era: zks_estimateFee values unchanged,,,588593,25000000,0,50000,25000000,933cc4974daed1725d82c5170874c24034750c7835dba69e7af3ad5426510499,9999674838875000000,14714825000000,8358a35f3df9c975c1b90d2813f24de8fed304781f3fd7febe68bf2c9062102c,437,0xf483233b938a14356d2283b778cca77abf82abf453e987f47e63cbaba80f3a91,0xf483233b938a14356d2283b778cca77abf82abf453e987f47e63cbaba80f3a91,1,2026-09-25T16:46:29.785Z,2026-09-25T16:46:29.789Z,2026-09-25T16:46:29.793Z,2026-09-25T16:46:30.297Z,5339.946,5343.998,5347.864,5851.843,4.052,3.866,503.979,507.845,500,2,0,100,2026-09-25T16:46:29.793Z,101,0x226e5bde1129abd5568d5db99feb5ef88db4339c61d1db1937fcb975decce7a6,1790354860,2026-09-25T16:47:40.000Z,25000000,1,452764,25000000,11319100000000,,,9999674838875000000,9999663519775000000,11319100000000,0,1,34,0,included,11319100000000,80,1,,,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-S3-6827943-20260925T164624Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,S3,verification,S3-ERA,4,S3-ERA-P2,S3-ERA-4,verify_credential,plonk,11,PLK-d11-p1,era-sepolia,300,dry-run mock (Era-like),127.0.0.1:34911,18816df0acf5206996833e1e79dc15edc5d047fb3ac0901d9638b22ca3398a9f,f7d38985c3ed24e8,0x05532f4E5817a94f109a213B92b2E08F714b4205,manager,CredentialManagerPlonk,0xA1B93a71d74cd2062172e9dBD434DF3B3212ab4B,,,a298ee5b1ea8679aadf74fcb657d46d87472c6f0fdc20c3fb76317acbb8dc10b,804,0,,113,19,590627,25000000,0,50000,era: zks_estimateFee values unchanged,,,590627,25000000,0,50000,25000000,d3e01b7f57455e533639c93694bf88346cfb776bea5712c28a8522f991d98d4a,9999663519775000000,14765675000000,cc1a5a1419d90d6658822507df0ca4fc2b75b8059af741775e9a0ce07512d0a1,949,0x5732b61185e0aae2c8cf0e49ea8fcaa5b6ee52471b6c0bca6f8881550d9af229,0x5732b61185e0aae2c8cf0e49ea8fcaa5b6ee52471b6c0bca6f8881550d9af229,1,2026-09-25T16:46:30.303Z,2026-09-25T16:46:30.307Z,2026-09-25T16:46:30.311Z,2026-09-25T16:46:30.818Z,5857.857,5862.49,5866.054,6373.58,4.633,3.564,507.526,511.09,500,2,0,102,2026-09-25T16:46:30.311Z,103,0x6134cf1dae43d88cb17309fdde95994b50e517b27c134de22132199ddd437ffd,1790354862,2026-09-25T16:47:42.000Z,25000000,1,454329,25000000,11358225000000,,,9999663519775000000,9999652161550000000,11358225000000,0,1,35,0,included,11358225000000,80,1,,,,confirmed_success,,,
