campaign_id,run_id,mode,protocol_sha256,harness_commit,inputs_manifest_sha256,session_id,phase,block_id,block_position,pair_id,schedule_id,op,backend,depth,proof_id,network,chain_id,provider_label,endpoint_host,endpoint_url_sha256,observation_id,signer_address,contract_role,contract_name,to_address,contract_address,artifact_sha256,calldata_sha256,calldata_bytes,factory_deps,bytecode_hash,tx_type,nonce,gas_limit,max_fee_per_gas,max_priority_fee_per_gas,gas_per_pubdata_limit,fee_rule,prep_block_number,prep_base_fee_per_gas,est_gas_limit,est_max_fee_per_gas,est_max_priority_fee_per_gas,est_gas_per_pubdata_limit,rpc_gas_price,fee_params_sha256,balance_before_latest,balance_required,raw_tx_sha256,raw_tx_bytes,tx_hash_local,tx_hash,tx_hash_matches,t_prepare_utc,t0_utc,t_hash_utc,t_receipt_utc,t_prepare_mono_ms,t0_mono_ms,t_hash_mono_ms,t_receipt_mono_ms,prepare_to_send_ms,send_to_hash_ms,hash_to_receipt_ms,request_to_receipt_ms,poll_interval_ms,polls,poll_errors,block_at_hash,block_at_hash_utc,inclusion_block,inclusion_block_hash,inclusion_block_timestamp,inclusion_block_time_utc,inclusion_block_base_fee,receipt_status,gas_used,effective_gas_price,receipt_fee_wei,expected_effective_gas_price,effective_price_ok,balance_before_block,balance_after_block,balance_delta_wei,fee_consistency_diff_wei,fee_consistency_ok,l1_batch_number,l1_batch_tx_index,era_details_status,era_details_fee,era_details_gas_per_pubdata,era_details_fee_ok,runtime_code_sha256,runtime_matches_artifact,revert_reason,state,error_class,error_message,notes
CSI-CHAIN-PUBLIC-01,dry-setup-sepolia-6827943-20260925T164558Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-SEP,1,,SETUP-SEP-01,deploy_verifier,groth16,11,,sepolia,11155111,dry-run mock (Ethereum-like),127.0.0.1:39643,4e765c7484180e80454c379c901b01d9ad1fc5e7e50cea5953e6c29ab37155da,321a598389fa8f59,0x05532f4E5817a94f109a213B92b2E08F714b4205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-25T16:45:58.512Z,,,,184.644,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unsent_preflight_failure,chain_check_chain_id_mismatch,an earlier operation of this block halted it,
CSI-CHAIN-PUBLIC-01,dry-setup-sepolia-6827943-20260925T164558Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-SEP,2,,SETUP-SEP-02,deploy_manager,groth16,11,,sepolia,11155111,dry-run mock (Ethereum-like),127.0.0.1:39643,4e765c7484180e80454c379c901b01d9ad1fc5e7e50cea5953e6c29ab37155da,321a598389fa8f59,0x05532f4E5817a94f109a213B92b2E08F714b4205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-25T16:45:58.513Z,,,,185.24,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unsent_preflight_failure,chain_check_chain_id_mismatch,an earlier operation of this block halted it,
CSI-CHAIN-PUBLIC-01,dry-setup-sepolia-6827943-20260925T164558Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-SEP,3,,SETUP-SEP-03,set_issuer,groth16,11,,sepolia,11155111,dry-run mock (Ethereum-like),127.0.0.1:39643,4e765c7484180e80454c379c901b01d9ad1fc5e7e50cea5953e6c29ab37155da,321a598389fa8f59,0x05532f4E5817a94f109a213B92b2E08F714b4205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-25T16:45:58.513Z,,,,185.737,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unsent_preflight_failure,chain_check_chain_id_mismatch,an earlier operation of this block halted it,
CSI-CHAIN-PUBLIC-01,dry-setup-sepolia-6827943-20260925T164558Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-SEP,4,,SETUP-SEP-04,add_root,groth16,11,,sepolia,11155111,dry-run mock (Ethereum-like),127.0.0.1:39643,4e765c7484180e80454c379c901b01d9ad1fc5e7e50cea5953e6c29ab37155da,321a598389fa8f59,0x05532f4E5817a94f109a213B92b2E08F714b4205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-25T16:45:58.514Z,,,,186.258,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unsent_preflight_failure,chain_check_chain_id_mismatch,an earlier operation of this block halted it,
CSI-CHAIN-PUBLIC-01,dry-setup-sepolia-6827943-20260925T164558Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-SEP,5,,SETUP-SEP-05,deploy_verifier,plonk,11,,sepolia,11155111,dry-run mock (Ethereum-like),127.0.0.1:39643,4e765c7484180e80454c379c901b01d9ad1fc5e7e50cea5953e6c29ab37155da,321a598389fa8f59,0x05532f4E5817a94f109a213B92b2E08F714b4205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-25T16:45:58.515Z,,,,186.932,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unsent_preflight_failure,chain_check_chain_id_mismatch,an earlier operation of this block halted it,
CSI-CHAIN-PUBLIC-01,dry-setup-sepolia-6827943-20260925T164558Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-SEP,6,,SETUP-SEP-06,deploy_manager,plonk,11,,sepolia,11155111,dry-run mock (Ethereum-like),127.0.0.1:39643,4e765c7484180e80454c379c901b01d9ad1fc5e7e50cea5953e6c29ab37155da,321a598389fa8f59,0x05532f4E5817a94f109a213B92b2E08F714b4205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-25T16:45:58.516Z,,,,187.972,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unsent_preflight_failure,chain_check_chain_id_mismatch,an earlier operation of this block halted it,
CSI-CHAIN-PUBLIC-01,dry-setup-sepolia-6827943-20260925T164558Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-SEP,7,,SETUP-SEP-07,set_issuer,plonk,11,,sepolia,11155111,dry-run mock (Ethereum-like),127.0.0.1:39643,4e765c7484180e80454c379c901b01d9ad1fc5e7e50cea5953e6c29ab37155da,321a598389fa8f59,0x05532f4E5817a94f109a213B92b2E08F714b4205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-25T16:45:58.516Z,,,,188.682,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unsent_preflight_failure,chain_check_chain_id_mismatch,an earlier operation of this block halted it,
CSI-CHAIN-PUBLIC-01,dry-setup-sepolia-6827943-20260925T164558Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-SEP,8,,SETUP-SEP-08,add_root,plonk,11,,sepolia,11155111,dry-run mock (Ethereum-like),127.0.0.1:39643,4e765c7484180e80454c379c901b01d9ad1fc5e7e50cea5953e6c29ab37155da,321a598389fa8f59,0x05532f4E5817a94f109a213B92b2E08F714b4205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-09-25T16:45:58.517Z,,,,189.302,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unsent_preflight_failure,chain_check_chain_id_mismatch,an earlier operation of this block halted it,
