campaign_id,run_id,mode,protocol_sha256,harness_commit,inputs_manifest_sha256,session_id,phase,block_id,block_position,pair_id,schedule_id,op,backend,depth,proof_id,network,chain_id,provider_label,endpoint_host,endpoint_url_sha256,observation_id,signer_address,contract_role,contract_name,to_address,contract_address,artifact_sha256,calldata_sha256,calldata_bytes,factory_deps,bytecode_hash,tx_type,nonce,gas_limit,max_fee_per_gas,max_priority_fee_per_gas,gas_per_pubdata_limit,fee_rule,prep_block_number,prep_base_fee_per_gas,est_gas_limit,est_max_fee_per_gas,est_max_priority_fee_per_gas,est_gas_per_pubdata_limit,rpc_gas_price,fee_params_sha256,balance_before_latest,balance_required,raw_tx_sha256,raw_tx_bytes,tx_hash_local,tx_hash,tx_hash_matches,t_prepare_utc,t0_utc,t_hash_utc,t_receipt_utc,t_prepare_mono_ms,t0_mono_ms,t_hash_mono_ms,t_receipt_mono_ms,prepare_to_send_ms,send_to_hash_ms,hash_to_receipt_ms,request_to_receipt_ms,poll_interval_ms,polls,poll_errors,block_at_hash,block_at_hash_utc,inclusion_block,inclusion_block_hash,inclusion_block_timestamp,inclusion_block_time_utc,inclusion_block_base_fee,receipt_status,gas_used,effective_gas_price,receipt_fee_wei,expected_effective_gas_price,effective_price_ok,balance_before_block,balance_after_block,balance_delta_wei,fee_consistency_diff_wei,fee_consistency_ok,l1_batch_number,l1_batch_tx_index,era_details_status,era_details_fee,era_details_gas_per_pubdata,era_details_fee_ok,runtime_code_sha256,runtime_matches_artifact,revert_reason,state,error_class,error_message,notes
CSI-CHAIN-PUBLIC-01,dry-setup-sepolia-05c9bfe-20260925T151305Z,dry,97e66ef5e0183250ba2d2cceddd252a1aa5bc91ee668e9e159ef4bb13f97fabe,05c9bfe69d0547c11e94c0bf7bd06c568f272717,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-SEP,1,,SETUP-SEP-01,deploy_verifier,groth16,11,,sepolia,11155111,dry-run mock (Ethereum-like),127.0.0.1:40773,82fc76420ffacaa7d53541115dd8bbeacb6f783ee525c75fb146ec23b615e353,e49f08111d90edeb,0x9ccbC7a11920693d86C8b7EF9E1594c445d9aa25,verifier,Groth16LegacyVerifierDepth11,,0x7294d414C3Fd560A86FC8e6Eb8cac5A4c03e10AA,3adaef3e110854ca0e56ddb1e23c340fceb960f9010c03b78741b3911d43effd,3adaef3e110854ca0e56ddb1e23c340fceb960f9010c03b78741b3911d43effd,1404,0,,2,0,6000000,4000000000,1000000000,,sepolia: maxFee = 2*baseFee(latest) + P; gasLimit fixed,0,1500000000,,,,,,,10000000000000000000,24000000000000000,7448fd60e4d9a9b06d98aa27d1c5c1bf75e298f8411fa731d1794ad9e9aa7c29,1500,0xaa2c3e3f10d1a14f522c46812426b03f5f169ea024c9fb43b5e70f6fb336bd06,0xaa2c3e3f10d1a14f522c46812426b03f5f169ea024c9fb43b5e70f6fb336bd06,1,2026-09-25T15:13:05.335Z,2026-09-25T15:13:05.339Z,2026-09-25T15:13:05.341Z,2026-09-25T15:13:06.353Z,298.469,302.322,304.385,1316.646,3.853,2.063,1012.261,1014.324,500,3,0,0,2026-09-25T15:13:05.341Z,1,0xcc6e31517d4917dd1a98c3c4bbcc78250ce6400883a701325a7e8027d26878e8,1790349186,2026-09-25T15:13:06.000Z,1500000000,1,349628,2500000000,874070000000000,2500000000,1,10000000000000000000,9999125930000000000,874070000000000,0,1,,,,,,,4bdc37126cdc0423b27fc7b407af1d5837352113323ef252464f500e44fd0095,1,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-setup-sepolia-05c9bfe-20260925T151305Z,dry,97e66ef5e0183250ba2d2cceddd252a1aa5bc91ee668e9e159ef4bb13f97fabe,05c9bfe69d0547c11e94c0bf7bd06c568f272717,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-SEP,2,,SETUP-SEP-02,deploy_manager,groth16,11,,sepolia,11155111,dry-run mock (Ethereum-like),127.0.0.1:40773,82fc76420ffacaa7d53541115dd8bbeacb6f783ee525c75fb146ec23b615e353,e49f08111d90edeb,0x9ccbC7a11920693d86C8b7EF9E1594c445d9aa25,manager,CredentialManagerGroth16,,0xC09864bB2751940E6009e39fb3c62D1961a1F8d6,56d754e07326aac3cfe5f4c4c0bfb792863045cc376b89f908f69ae8c7d7e2b1,b5263b14f03268b616dd8357a9f1aa89788f54f1b4dd6dcae603895b280a237c,2410,0,,2,1,6000000,4000000000,1000000000,,sepolia: maxFee = 2*baseFee(latest) + P; gasLimit fixed,1,1500000000,,,,,,,9999125930000000000,24000000000000000,b54f20fdd67bcc19e259dbeaddf2ff0cefebdcd033cac058f70782a2f8aa6941,2506,0xa2bd4fe8542fd7ae89069bd09a781d1c3763ad6284f00d5774d155754fa48406,0xa2bd4fe8542fd7ae89069bd09a781d1c3763ad6284f00d5774d155754fa48406,1,2026-09-25T15:13:06.363Z,2026-09-25T15:13:06.370Z,2026-09-25T15:13:06.376Z,2026-09-25T15:13:07.388Z,1326.117,1333.578,1339.504,2351.847,7.461,5.926,1012.343,1018.269,500,3,0,1,2026-09-25T15:13:06.376Z,2,0x55cdea3e33e9e0dedeeac038800af514af4751940159fa1143344045d195c5e9,1790349187,2026-09-25T15:13:07.000Z,1500000000,1,565248,2500000000,1413120000000000,2500000000,1,9999125930000000000,9997712810000000000,1413120000000000,0,1,,,,,,,c539e3e9f22d13e8145a4dcd130bbc5c876a8aeea6ac2a188a0ab7d52fc193e2,1,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-setup-sepolia-05c9bfe-20260925T151305Z,dry,97e66ef5e0183250ba2d2cceddd252a1aa5bc91ee668e9e159ef4bb13f97fabe,05c9bfe69d0547c11e94c0bf7bd06c568f272717,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-SEP,3,,SETUP-SEP-03,set_issuer,groth16,11,,sepolia,11155111,dry-run mock (Ethereum-like),127.0.0.1:40773,82fc76420ffacaa7d53541115dd8bbeacb6f783ee525c75fb146ec23b615e353,e49f08111d90edeb,0x9ccbC7a11920693d86C8b7EF9E1594c445d9aa25,manager,CredentialManagerGroth16,0xC09864bB2751940E6009e39fb3c62D1961a1F8d6,,,90d643c7625650d1e549204ee84bf5b0a64eb70a555124ff63885e79c46a8518,68,0,,2,2,300000,4000000000,1000000000,,sepolia: maxFee = 2*baseFee(latest) + P; gasLimit fixed,2,1500000000,,,,,,,9997712810000000000,1200000000000000,d159c1fdc43125a4e9d8451a19fe7c22684295fd54ec03169946919e2c5a9226,182,0xa68c862869158aa234c74918ee86d4877ad9200b1bbca663cc9070d5bc5baa74,0xa68c862869158aa234c74918ee86d4877ad9200b1bbca663cc9070d5bc5baa74,1,2026-09-25T15:13:07.397Z,2026-09-25T15:13:07.402Z,2026-09-25T15:13:07.407Z,2026-09-25T15:13:08.414Z,2360.616,2366.104,2370.536,3377.519,5.488,4.432,1006.983,1011.415,500,3,0,2,2026-09-25T15:13:07.407Z,3,0xf2e8365244823a24893f5472c1d42fde59635dc4463c97bc560f046816800776,1790349188,2026-09-25T15:13:08.000Z,1500000000,1,47900,2500000000,119750000000000,2500000000,1,9997712810000000000,9997593060000000000,119750000000000,0,1,,,,,,,,,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-setup-sepolia-05c9bfe-20260925T151305Z,dry,97e66ef5e0183250ba2d2cceddd252a1aa5bc91ee668e9e159ef4bb13f97fabe,05c9bfe69d0547c11e94c0bf7bd06c568f272717,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-SEP,4,,SETUP-SEP-04,add_root,groth16,11,,sepolia,11155111,dry-run mock (Ethereum-like),127.0.0.1:40773,82fc76420ffacaa7d53541115dd8bbeacb6f783ee525c75fb146ec23b615e353,e49f08111d90edeb,0x9ccbC7a11920693d86C8b7EF9E1594c445d9aa25,manager,CredentialManagerGroth16,0xC09864bB2751940E6009e39fb3c62D1961a1F8d6,,,d02fee54c295d1b5cc2948d9c79837ece40c0013835e3b9bb349e94ae744e758,36,0,,2,3,300000,4000000000,1000000000,,sepolia: maxFee = 2*baseFee(latest) + P; gasLimit fixed,3,1500000000,,,,,,,9997593060000000000,1200000000000000,9340f279f7508c9cadcbd6ede4503e67cefbb45a087588a36be949da5fb2e69c,149,0xff56ec1d230243713fb4dd929c5476932049580b1c1da2a09645543e7d09a653,0xff56ec1d230243713fb4dd929c5476932049580b1c1da2a09645543e7d09a653,1,2026-09-25T15:13:08.421Z,2026-09-25T15:13:08.425Z,2026-09-25T15:13:08.428Z,2026-09-25T15:13:09.431Z,3384.307,3388.154,3391.482,4394.907,3.847,3.328,1003.425,1006.753,500,3,0,3,2026-09-25T15:13:08.428Z,4,0x486be3678e0725d00557e64238d8743ec4e2edc9dad0361756042c928dcef386,1790349189,2026-09-25T15:13:09.000Z,1500000000,1,47334,2500000000,118335000000000,2500000000,1,9997593060000000000,9997474725000000000,118335000000000,0,1,,,,,,,,,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-setup-sepolia-05c9bfe-20260925T151305Z,dry,97e66ef5e0183250ba2d2cceddd252a1aa5bc91ee668e9e159ef4bb13f97fabe,05c9bfe69d0547c11e94c0bf7bd06c568f272717,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-SEP,5,,SETUP-SEP-05,deploy_verifier,plonk,11,,sepolia,11155111,dry-run mock (Ethereum-like),127.0.0.1:40773,82fc76420ffacaa7d53541115dd8bbeacb6f783ee525c75fb146ec23b615e353,e49f08111d90edeb,0x9ccbC7a11920693d86C8b7EF9E1594c445d9aa25,verifier,PlonkVerifierDepth11,,0xCa5093ed44e113777a122c545b4A99cA7d34762A,3875ab1e234901f2c1af2262f5650c30ffcf0567175947e5562ac229cd2d5f88,3875ab1e234901f2c1af2262f5650c30ffcf0567175947e5562ac229cd2d5f88,5467,0,,2,4,6000000,4000000000,1000000000,,sepolia: maxFee = 2*baseFee(latest) + P; gasLimit fixed,4,1500000000,,,,,,,9997474725000000000,24000000000000000,ce3f99f1b971ef4de1d86d26d8d2ccfdde64c1ec32e2ea53b9bbc5869bd6e8e0,5563,0xbfdb8de4c0e44277058c60d27a8c73da0d5b69f300b40c536a0c2ca32c2c5a3e,0xbfdb8de4c0e44277058c60d27a8c73da0d5b69f300b40c536a0c2ca32c2c5a3e,1,2026-09-25T15:13:09.439Z,2026-09-25T15:13:09.448Z,2026-09-25T15:13:09.457Z,2026-09-25T15:13:10.462Z,4402.389,4411.309,4420.2,5425.192,8.92,8.891,1004.992,1013.883,500,3,0,4,2026-09-25T15:13:09.457Z,5,0xaf5077e02f0b4f6b89e17883a71779d441c05a79c05694ea82e7ae3e3a6e6e4c,1790349190,2026-09-25T15:13:10.000Z,1500000000,1,1226937,2500000000,3067342500000000,2500000000,1,9997474725000000000,9994407382500000000,3067342500000000,0,1,,,,,,,c09007a40b243881d0914b11544fc64c5f5aba21098531672338e2be25b4689e,1,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-setup-sepolia-05c9bfe-20260925T151305Z,dry,97e66ef5e0183250ba2d2cceddd252a1aa5bc91ee668e9e159ef4bb13f97fabe,05c9bfe69d0547c11e94c0bf7bd06c568f272717,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-SEP,6,,SETUP-SEP-06,deploy_manager,plonk,11,,sepolia,11155111,dry-run mock (Ethereum-like),127.0.0.1:40773,82fc76420ffacaa7d53541115dd8bbeacb6f783ee525c75fb146ec23b615e353,e49f08111d90edeb,0x9ccbC7a11920693d86C8b7EF9E1594c445d9aa25,manager,CredentialManagerPlonk,,0x4AEC90D9af1aafED436E054Aa56487de3068dd6e,b9be32a36c30da9b123a33149749400e556f2e4fbac538139172b9473c58b128,37d308406019ccc1fde3531f9edd5a5372e163f1ad896f7f9c88f87b8090f77d,2302,0,,2,5,6000000,4000000000,1000000000,,sepolia: maxFee = 2*baseFee(latest) + P; gasLimit fixed,5,1500000000,,,,,,,9994407382500000000,24000000000000000,028ca5397c14225fd2bff870524ab99c65d6b311ce488ecca9167b15b90ae229,2398,0xac4edd98b797eb29bbf35d811a9b56cc8824bf5f979a166035d8e4fa544800e5,0xac4edd98b797eb29bbf35d811a9b56cc8824bf5f979a166035d8e4fa544800e5,1,2026-09-25T15:13:10.470Z,2026-09-25T15:13:10.476Z,2026-09-25T15:13:10.482Z,2026-09-25T15:13:11.494Z,5434.047,5439.427,5445.166,6457.348,5.38,5.739,1012.182,1017.921,500,3,0,5,2026-09-25T15:13:10.482Z,6,0x939f24363cb478793053845eb295ee130e078ca180101c8da262e9620a89cc1a,1790349191,2026-09-25T15:13:11.000Z,1500000000,1,541930,2500000000,1354825000000000,2500000000,1,9994407382500000000,9993052557500000000,1354825000000000,0,1,,,,,,,32b929862aac1c8e6f686898ec30f74b5a94c4fb2a2dc494d6ce53d28a4072d5,1,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-setup-sepolia-05c9bfe-20260925T151305Z,dry,97e66ef5e0183250ba2d2cceddd252a1aa5bc91ee668e9e159ef4bb13f97fabe,05c9bfe69d0547c11e94c0bf7bd06c568f272717,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-SEP,7,,SETUP-SEP-07,set_issuer,plonk,11,,sepolia,11155111,dry-run mock (Ethereum-like),127.0.0.1:40773,82fc76420ffacaa7d53541115dd8bbeacb6f783ee525c75fb146ec23b615e353,e49f08111d90edeb,0x9ccbC7a11920693d86C8b7EF9E1594c445d9aa25,manager,CredentialManagerPlonk,0x4AEC90D9af1aafED436E054Aa56487de3068dd6e,,,90d643c7625650d1e549204ee84bf5b0a64eb70a555124ff63885e79c46a8518,68,0,,2,6,300000,4000000000,1000000000,,sepolia: maxFee = 2*baseFee(latest) + P; gasLimit fixed,6,1500000000,,,,,,,9993052557500000000,1200000000000000,7b2f54acd11fcc52e620bdc46ecbfa94127169daf923b8e54b70719d275383a0,182,0xcf6719efae2792c0b9d83818a3ab2dded1f46d16ad661fb05704ca3eb1f5de7e,0xcf6719efae2792c0b9d83818a3ab2dded1f46d16ad661fb05704ca3eb1f5de7e,1,2026-09-25T15:13:11.501Z,2026-09-25T15:13:11.504Z,2026-09-25T15:13:11.507Z,2026-09-25T15:13:12.511Z,6464.563,6467.543,6470.945,7475.044,2.98,3.402,1004.099,1007.501,500,3,0,6,2026-09-25T15:13:11.508Z,7,0x7328cec51e6c91ea4ec79ca4dcdddd4ed3dedb2961c81937873cad0c3f27e7cf,1790349192,2026-09-25T15:13:12.000Z,1500000000,1,47900,2500000000,119750000000000,2500000000,1,9993052557500000000,9992932807500000000,119750000000000,0,1,,,,,,,,,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-setup-sepolia-05c9bfe-20260925T151305Z,dry,97e66ef5e0183250ba2d2cceddd252a1aa5bc91ee668e9e159ef4bb13f97fabe,05c9bfe69d0547c11e94c0bf7bd06c568f272717,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-SEP,8,,SETUP-SEP-08,add_root,plonk,11,,sepolia,11155111,dry-run mock (Ethereum-like),127.0.0.1:40773,82fc76420ffacaa7d53541115dd8bbeacb6f783ee525c75fb146ec23b615e353,e49f08111d90edeb,0x9ccbC7a11920693d86C8b7EF9E1594c445d9aa25,manager,CredentialManagerPlonk,0x4AEC90D9af1aafED436E054Aa56487de3068dd6e,,,d02fee54c295d1b5cc2948d9c79837ece40c0013835e3b9bb349e94ae744e758,36,0,,2,7,300000,4000000000,1000000000,,sepolia: maxFee = 2*baseFee(latest) + P; gasLimit fixed,7,1500000000,,,,,,,9992932807500000000,1200000000000000,3eb84ea10a98e6531b994947fb1d77589c8aa412fa28a38129aea461c7125a9f,149,0x329c095d1efee67c5b24aaa99f2fd4891527d1d94ddc0ed3503cc4ff1a283d67,0x329c095d1efee67c5b24aaa99f2fd4891527d1d94ddc0ed3503cc4ff1a283d67,1,2026-09-25T15:13:12.519Z,2026-09-25T15:13:12.522Z,2026-09-25T15:13:12.525Z,2026-09-25T15:13:13.535Z,7482.838,7485.366,7488.457,8498.134,2.528,3.091,1009.677,1012.768,500,3,0,7,2026-09-25T15:13:12.525Z,8,0xd401361a2961488edfbb4e132db1580dac10868dd27105d9e6408a7b15a0196f,1790349193,2026-09-25T15:13:13.000Z,1500000000,1,47334,2500000000,118335000000000,2500000000,1,9992932807500000000,9992814472500000000,118335000000000,0,1,,,,,,,,,,confirmed_success,,,
