Depth,Input(s),Witness(s),Prove(s),Verify(s),Total(s),Status
5,0.048,0.070,24.502,0.782,25.402,success
6,0.059,0.076,24.457,0.803,25.397,success
7,0.052,0.072,24.152,0.803,25.081,success
8,0.052,0.080,23.955,0.827,24.914,success
9,0.051,0.073,23.606,0.773,24.503,success
10,0.047,0.082,24.793,0.740,25.663,success
11,0.046,0.072,46.516,0.803,47.437,success
12,0.055,0.073,46.551,0.830,47.509,success
13,0.049,0.076,47.624,0.770,48.520,success
14,0.046,0.070,46.782,0.788,47.687,success
15,0.052,0.078,47.494,0.755,48.380,success
