Depth,Input(s),Witness(s),Prove(s),Verify(s),Total(s),Status
5,0.051,0.056,0.476,0.362,0.945,success
6,0.045,0.058,0.493,0.284,0.880,success
7,0.046,0.059,0.507,0.287,0.899,success
8,0.046,0.059,0.558,0.285,0.949,success
9,0.048,0.061,0.566,0.289,0.966,success
10,0.049,0.062,0.566,0.282,0.960,success
11,0.097,0.059,0.588,0.281,1.027,success
12,0.051,0.057,0.623,0.284,1.015,success
13,0.049,0.060,0.623,0.283,1.015,success
14,0.049,0.059,0.637,0.283,1.029,success
15,0.048,0.057,0.651,0.289,1.045,success
