campaign_id,run_id,mode,protocol_sha256,harness_commit,inputs_manifest_sha256,session_id,phase,block_id,block_position,pair_id,schedule_id,op,backend,depth,proof_id,network,chain_id,provider_label,endpoint_host,endpoint_url_sha256,observation_id,signer_address,contract_role,contract_name,to_address,contract_address,artifact_sha256,calldata_sha256,calldata_bytes,factory_deps,bytecode_hash,tx_type,nonce,gas_limit,max_fee_per_gas,max_priority_fee_per_gas,gas_per_pubdata_limit,fee_rule,prep_block_number,prep_base_fee_per_gas,est_gas_limit,est_max_fee_per_gas,est_max_priority_fee_per_gas,est_gas_per_pubdata_limit,rpc_gas_price,fee_params_sha256,balance_before_latest,balance_required,raw_tx_sha256,raw_tx_bytes,tx_hash_local,tx_hash,tx_hash_matches,t_prepare_utc,t0_utc,t_hash_utc,t_receipt_utc,t_prepare_mono_ms,t0_mono_ms,t_hash_mono_ms,t_receipt_mono_ms,prepare_to_send_ms,send_to_hash_ms,hash_to_receipt_ms,request_to_receipt_ms,poll_interval_ms,polls,poll_errors,block_at_hash,block_at_hash_utc,inclusion_block,inclusion_block_hash,inclusion_block_timestamp,inclusion_block_time_utc,inclusion_block_base_fee,receipt_status,gas_used,effective_gas_price,receipt_fee_wei,expected_effective_gas_price,effective_price_ok,balance_before_block,balance_after_block,balance_delta_wei,fee_consistency_diff_wei,fee_consistency_ok,l1_batch_number,l1_batch_tx_index,era_details_status,era_details_fee,era_details_gas_per_pubdata,era_details_fee_ok,runtime_code_sha256,runtime_matches_artifact,revert_reason,state,error_class,error_message,notes
CSI-CHAIN-PUBLIC-01,dry-setup-era-sepolia-6827943-20260925T164607Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-ERA,1,,SETUP-ERA-01,deploy_verifier,groth16,11,,era-sepolia,300,dry-run mock (Era-like),127.0.0.1:34911,18816df0acf5206996833e1e79dc15edc5d047fb3ac0901d9638b22ca3398a9f,03ed1a89c3de203d,0x05532f4E5817a94f109a213B92b2E08F714b4205,verifier,Groth16LegacyVerifierDepth11,0x0000000000000000000000000000000000008006,0xd67A2cd26fC83B742efEDb4BfAa305d817b4bb4b,3be22e7e89c4cefae9b82d938e5f49479fd773521ddfd615284396aa1bbb65c1,44902f4c5418adc4f6045353bef005634115a381bd55c4251a7ee58b10447d67,132,1,0x0100005f89c4cefae9b82d938e5f49479fd773521ddfd615284396aa1bbb65c1,113,0,984289,25000000,0,50000,era: zks_estimateFee values unchanged,,,984289,25000000,0,50000,25000000,435ee82eb4b23d25b7e33f0e2e6f7fdc4331828d3c9a8c3e899a2f8898b351e3,10000000000000000000,24607225000000,2d0612b52578a5e0d35f100b5a6e2934d3ab10cffbc9fba1108e7bd19b6fa8ce,3321,0x09c8f6d8aadd68c30aaf770d8723e4b1f5e71e6518f042d9765c362d7b42c47c,0x09c8f6d8aadd68c30aaf770d8723e4b1f5e71e6518f042d9765c362d7b42c47c,1,2026-09-25T16:46:07.824Z,2026-09-25T16:46:07.831Z,2026-09-25T16:46:07.834Z,2026-09-25T16:46:08.341Z,191.77,198.684,201.445,708.431,6.914,2.761,506.986,509.747,500,2,0,28,2026-09-25T16:46:07.834Z,29,0x95f9371cc8163ea343bdef1e71346ca7ad7ad27676973287d97444336c52a224,1790354788,2026-09-25T16:46:28.000Z,25000000,1,757146,25000000,18928650000000,,,10000000000000000000,9999981071350000000,18928650000000,0,1,10,0,included,18928650000000,80,1,3be22e7e89c4cefae9b82d938e5f49479fd773521ddfd615284396aa1bbb65c1,1,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-setup-era-sepolia-6827943-20260925T164607Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-ERA,2,,SETUP-ERA-02,deploy_manager,groth16,11,,era-sepolia,300,dry-run mock (Era-like),127.0.0.1:34911,18816df0acf5206996833e1e79dc15edc5d047fb3ac0901d9638b22ca3398a9f,03ed1a89c3de203d,0x05532f4E5817a94f109a213B92b2E08F714b4205,manager,CredentialManagerGroth16,0x0000000000000000000000000000000000008006,0xc2247022C38a59152864310597F9e008cc183dFA,3f186bb57155e3640948296be420258a2e1a98adb16b55738b817247e9fd54eb,e9cd6cf90c14d3ecefbf569cf10b0f22213f30293275e9c3d0fef414b3c84d79,164,1,0x010000d37155e3640948296be420258a2e1a98adb16b55738b817247e9fd54eb,113,1,1510414,25000000,0,50000,era: zks_estimateFee values unchanged,,,1510414,25000000,0,50000,25000000,e1588a6f4ff48e20480d9519dbbe014c5acf059c64511b050d42cd805afb3533,9999981071350000000,37760350000000,777968349c0a3c69791714266f9d6a4431fa4cdb6d8d66197740ae27aa28195d,7065,0x3b1a50d2d66a71138a7c175f2e17d3f37b770d998fe9f7292b302137b68cf224,0x3b1a50d2d66a71138a7c175f2e17d3f37b770d998fe9f7292b302137b68cf224,1,2026-09-25T16:46:08.348Z,2026-09-25T16:46:08.361Z,2026-09-25T16:46:08.366Z,2026-09-25T16:46:08.872Z,715.378,728.063,732.904,1239.138,12.685,4.841,506.234,511.075,500,2,0,30,2026-09-25T16:46:08.366Z,31,0x5acae21b718b5b62586e97f97c61bcc0e5f24cebb83b23868495cce3065e9534,1790354790,2026-09-25T16:46:30.000Z,25000000,1,1161857,25000000,29046425000000,,,9999981071350000000,9999952024925000000,29046425000000,0,1,11,0,included,29046425000000,80,1,3f186bb57155e3640948296be420258a2e1a98adb16b55738b817247e9fd54eb,1,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-setup-era-sepolia-6827943-20260925T164607Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-ERA,3,,SETUP-ERA-03,set_issuer,groth16,11,,era-sepolia,300,dry-run mock (Era-like),127.0.0.1:34911,18816df0acf5206996833e1e79dc15edc5d047fb3ac0901d9638b22ca3398a9f,03ed1a89c3de203d,0x05532f4E5817a94f109a213B92b2E08F714b4205,manager,CredentialManagerGroth16,0xc2247022C38a59152864310597F9e008cc183dFA,,,8aca6ec3fef610d35f2a76784df6f5f98772f57d45c358b79d26947a7cb1260d,68,0,,113,2,167124,25000000,0,50000,era: zks_estimateFee values unchanged,,,167124,25000000,0,50000,25000000,1993857861814c8284e22bfc3569cc56ace26d0a8a6dac40f119203e4a02ec12,9999952024925000000,4178100000000,da3a9d985ff63ebe873ba12fedc390ce5a9c755c5dcd744a105d715b59caa8b4,211,0x9989be12ac3cf563848d8d0d2a74f3290d6e20feb5a7eb08b4e87a29caaf393b,0x9989be12ac3cf563848d8d0d2a74f3290d6e20feb5a7eb08b4e87a29caaf393b,1,2026-09-25T16:46:08.878Z,2026-09-25T16:46:08.884Z,2026-09-25T16:46:08.888Z,2026-09-25T16:46:09.394Z,1245.272,1251.327,1255.646,1761.167,6.055,4.319,505.521,509.84,500,2,0,31,2026-09-25T16:46:08.890Z,32,0x329dcf1e780e4989232ec74eedd486b4c45c88b50ca08222c697fe3ddbf0c0fa,1790354791,2026-09-25T16:46:31.000Z,25000000,1,128557,25000000,3213925000000,,,9999952024925000000,9999948811000000000,3213925000000,0,1,11,0,included,3213925000000,80,1,,,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-setup-era-sepolia-6827943-20260925T164607Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-ERA,4,,SETUP-ERA-04,add_root,groth16,11,,era-sepolia,300,dry-run mock (Era-like),127.0.0.1:34911,18816df0acf5206996833e1e79dc15edc5d047fb3ac0901d9638b22ca3398a9f,03ed1a89c3de203d,0x05532f4E5817a94f109a213B92b2E08F714b4205,manager,CredentialManagerGroth16,0xc2247022C38a59152864310597F9e008cc183dFA,,,d02fee54c295d1b5cc2948d9c79837ece40c0013835e3b9bb349e94ae744e758,36,0,,113,3,167540,25000000,0,50000,era: zks_estimateFee values unchanged,,,167540,25000000,0,50000,25000000,e30b0abac3ae2f8586169b82b39bd8558a7eca3f0654db9d5b89d7300bb5e76c,9999948811000000000,4188500000000,54a93354f11ad5a3925095f7ef38cd6b623dd968625c404eb7cc9beeb256542f,178,0xd18b26c1b3c9d7516ed39c61c222daccb08f24d7ed486262772076e4f6cd72d5,0xd18b26c1b3c9d7516ed39c61c222daccb08f24d7ed486262772076e4f6cd72d5,1,2026-09-25T16:46:09.400Z,2026-09-25T16:46:09.404Z,2026-09-25T16:46:09.409Z,2026-09-25T16:46:09.916Z,1766.91,1771.629,1776.027,2283.507,4.719,4.398,507.48,511.878,500,2,0,33,2026-09-25T16:46:09.409Z,34,0xc9f90591248e31f04c5448dcfdb67952ab34fc01865dac6467655a4b3890c598,1790354793,2026-09-25T16:46:33.000Z,25000000,1,128877,25000000,3221925000000,,,9999948811000000000,9999945589075000000,3221925000000,0,1,12,0,included,3221925000000,80,1,,,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-setup-era-sepolia-6827943-20260925T164607Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-ERA,5,,SETUP-ERA-05,deploy_verifier,plonk,11,,era-sepolia,300,dry-run mock (Era-like),127.0.0.1:34911,18816df0acf5206996833e1e79dc15edc5d047fb3ac0901d9638b22ca3398a9f,03ed1a89c3de203d,0x05532f4E5817a94f109a213B92b2E08F714b4205,verifier,PlonkVerifierDepth11,0x0000000000000000000000000000000000008006,0x14dA370D6aA904a863f72335B59A1538D3527A7C,22b03e4178196cbbed42200c01f2280655dacb2e92a94516f3d56c93d48e4b62,b840d88b70e2760221354d48781808507b306c245f173e22f28ce00246c4ce9c,132,1,0x0100052778196cbbed42200c01f2280655dacb2e92a94516f3d56c93d48e4b62,113,4,6367608,25000000,0,50000,era: zks_estimateFee values unchanged,,,6367608,25000000,0,50000,25000000,1c9d8113bda8d4560d654958f3515879ba03da92d94698a58268f467537e481f,9999945589075000000,159190200000000,18c4423f193d76d5208acb261ea9a620ed63b181bb1803ce65e904fa865fa7ed,42489,0x71f4bf4b8dd431018407829355cbc313c259e74e6358a5f91b4c4f4e72256e99,0x71f4bf4b8dd431018407829355cbc313c259e74e6358a5f91b4c4f4e72256e99,1,2026-09-25T16:46:09.923Z,2026-09-25T16:46:09.953Z,2026-09-25T16:46:09.961Z,2026-09-25T16:46:10.464Z,2290.339,2320.216,2328.172,2830.836,29.877,7.956,502.664,510.62,500,2,0,35,2026-09-25T16:46:09.961Z,36,0x05bfe7fdf17afa9b9c57f77fac65be7b10982483de5246990f3b1f53f0d427b9,1790354795,2026-09-25T16:46:35.000Z,25000000,1,4898160,25000000,122454000000000,,,9999945589075000000,9999823135075000000,122454000000000,0,1,12,0,included,122454000000000,80,1,22b03e4178196cbbed42200c01f2280655dacb2e92a94516f3d56c93d48e4b62,1,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-setup-era-sepolia-6827943-20260925T164607Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-ERA,6,,SETUP-ERA-06,deploy_manager,plonk,11,,era-sepolia,300,dry-run mock (Era-like),127.0.0.1:34911,18816df0acf5206996833e1e79dc15edc5d047fb3ac0901d9638b22ca3398a9f,03ed1a89c3de203d,0x05532f4E5817a94f109a213B92b2E08F714b4205,manager,CredentialManagerPlonk,0x0000000000000000000000000000000000008006,0xA1B93a71d74cd2062172e9dBD434DF3B3212ab4B,27a368628ad512f1d77f4733ef95b69a7329a5310824ac0599410635c1c0ebcf,39c597560618c7350e12d6df639d9033b9e2f34531356ce7841963b90e299b1b,164,1,0x010000cf8ad512f1d77f4733ef95b69a7329a5310824ac0599410635c1c0ebcf,113,5,1480371,25000000,0,50000,era: zks_estimateFee values unchanged,,,1480371,25000000,0,50000,25000000,69464b1313126ffac08507876630247ace76e686db23b35af7b4be5330707610,9999823135075000000,37009275000000,d63fd6bf2aedeebded8a9b0f96ada9cf44a1697b7bf7847647ed0544c7761487,6937,0xcd707d50910aa40fea02b3e442680b7ca13523d67575b9fdbbe6bfac0003e5ca,0xcd707d50910aa40fea02b3e442680b7ca13523d67575b9fdbbe6bfac0003e5ca,1,2026-09-25T16:46:10.469Z,2026-09-25T16:46:10.478Z,2026-09-25T16:46:10.484Z,2026-09-25T16:46:10.988Z,2836.686,2845.042,2850.882,3354.893,8.356,5.84,504.011,509.851,500,2,0,37,2026-09-25T16:46:10.484Z,38,0xfde33a11cc2caadac80dd1dc8b2cef3b8d2720f611bd8e9faf6a2d65bea7dcb9,1790354797,2026-09-25T16:46:37.000Z,25000000,1,1138747,25000000,28468675000000,,,9999823135075000000,9999794666400000000,28468675000000,0,1,13,0,included,28468675000000,80,1,27a368628ad512f1d77f4733ef95b69a7329a5310824ac0599410635c1c0ebcf,1,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-setup-era-sepolia-6827943-20260925T164607Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-ERA,7,,SETUP-ERA-07,set_issuer,plonk,11,,era-sepolia,300,dry-run mock (Era-like),127.0.0.1:34911,18816df0acf5206996833e1e79dc15edc5d047fb3ac0901d9638b22ca3398a9f,03ed1a89c3de203d,0x05532f4E5817a94f109a213B92b2E08F714b4205,manager,CredentialManagerPlonk,0xA1B93a71d74cd2062172e9dBD434DF3B3212ab4B,,,8aca6ec3fef610d35f2a76784df6f5f98772f57d45c358b79d26947a7cb1260d,68,0,,113,6,167103,25000000,0,50000,era: zks_estimateFee values unchanged,,,167103,25000000,0,50000,25000000,323159574faf07422f96fc93fce91070e50e784b6217fbb37e2be2c5e5929b79,9999794666400000000,4177575000000,2aca6c31f302807fd3b4843e226d17f0c98b844f6f7bfa8101d101e3fb8cfa0c,211,0x9f48e20a014cfe60bb4b03792f21adba925043cdd41fd42c02137100ccbc8585,0x9f48e20a014cfe60bb4b03792f21adba925043cdd41fd42c02137100ccbc8585,1,2026-09-25T16:46:10.994Z,2026-09-25T16:46:10.999Z,2026-09-25T16:46:11.002Z,2026-09-25T16:46:11.510Z,3361.472,3365.971,3369.592,3877.502,4.499,3.621,507.91,511.531,500,2,0,38,2026-09-25T16:46:11.003Z,39,0x385bff5ae24f0587064e2a0fd101fe1e7a051d7a70d9a9436c157f8ac00fdfda,1790354798,2026-09-25T16:46:38.000Z,25000000,1,128541,25000000,3213525000000,,,9999794666400000000,9999791452875000000,3213525000000,0,1,13,0,included,3213525000000,80,1,,,,confirmed_success,,,
CSI-CHAIN-PUBLIC-01,dry-setup-era-sepolia-6827943-20260925T164607Z,dry,51db3707331f72c30fea99f485979d6d5141a5e2c7bcc585d822066aaa15bb35,68279431a6588c1aed7cc27d754de4b4a462e5b6,14cbed1bac6a22d7015380ac3615bc5fd95892ef1d6d4c457ff66a2a910c84ab,SETUP,setup,SETUP-ERA,8,,SETUP-ERA-08,add_root,plonk,11,,era-sepolia,300,dry-run mock (Era-like),127.0.0.1:34911,18816df0acf5206996833e1e79dc15edc5d047fb3ac0901d9638b22ca3398a9f,03ed1a89c3de203d,0x05532f4E5817a94f109a213B92b2E08F714b4205,manager,CredentialManagerPlonk,0xA1B93a71d74cd2062172e9dBD434DF3B3212ab4B,,,d02fee54c295d1b5cc2948d9c79837ece40c0013835e3b9bb349e94ae744e758,36,0,,113,7,167519,25000000,0,50000,era: zks_estimateFee values unchanged,,,167519,25000000,0,50000,25000000,da16444928f4a1908bead4210c2648a5d063914e5f8272b277bf797d502ae40a,9999791452875000000,4187975000000,607170d80bad26eeabbec3e9bfd7b1a6b7030775a9ade64ab31bbc6b84f82349,178,0x233fac911188317c018cc43c9650d1d794727c96bc99add29ebabcb66f47fbb4,0x233fac911188317c018cc43c9650d1d794727c96bc99add29ebabcb66f47fbb4,1,2026-09-25T16:46:11.516Z,2026-09-25T16:46:11.520Z,2026-09-25T16:46:11.524Z,2026-09-25T16:46:12.027Z,3883.212,3886.838,3891.544,4394.402,3.626,4.706,502.858,507.564,500,2,0,40,2026-09-25T16:46:11.525Z,41,0x98d225f68d5105fc0295bd08819e5f6c283d87b6780551df645d6c91d41f9e22,1790354800,2026-09-25T16:46:40.000Z,25000000,1,128861,25000000,3221525000000,,,9999791452875000000,9999788231350000000,3221525000000,0,1,14,0,included,3221525000000,80,1,,,,confirmed_success,,,
