schedule_id,_run,session_id,phase,block_id,pair_id,network,backend,op,proof_id,state,error_class,tx_hash,gas_used,effective_gas_price,receipt_fee_wei,fee_consistency_ok,send_to_hash_ms,hash_to_receipt_ms,request_to_receipt_ms,polls,inclusion_block,inclusion_block_time_utc,block_at_hash,l1_batch_number,runtime_matches_artifact,t0_utc
SETUP-ERA-06,dry-setup-era-sepolia-6827943-20260925T164647Z,SETUP,setup,SETUP-ERA,,era-sepolia,plonk,deploy_manager,,confirmed_success,,0xcd707d50910aa40fea02b3e442680b7ca13523d67575b9fdbbe6bfac0003e5ca,1138747,25000000,28468675000000,1,5.446,506.974,512.42,2,38,2026-09-25T16:47:16.000Z,37,13,1,2026-09-25T16:46:50.286Z
SETUP-ERA-07,dry-setup-era-sepolia-6827943-20260925T164647Z,SETUP,setup,SETUP-ERA,,era-sepolia,plonk,set_issuer,,confirmed_success,,0x9f48e20a014cfe60bb4b03792f21adba925043cdd41fd42c02137100ccbc8585,128541,25000000,3213525000000,1,4.426,1.011,5.437,1,39,2026-09-25T16:47:17.000Z,39,13,,2026-09-25T16:46:50.810Z
SETUP-ERA-08,dry-setup-era-sepolia-6827943-20260925T164647Z,SETUP,setup,SETUP-ERA,,era-sepolia,plonk,add_root,,confirmed_success,,0x233fac911188317c018cc43c9650d1d794727c96bc99add29ebabcb66f47fbb4,128861,25000000,3221525000000,1,3.334,504.688,508.022,2,40,2026-09-25T16:47:18.000Z,39,14,,2026-09-25T16:46:50.823Z
S1-SEP-1,dry-S1-6827943-20260925T164651Z,S1,verification,S1-SEP,S1-SEP-P1,sepolia,plonk,verify_credential,PLK-d11-p0,unsent_client_error,send_rpc_error,,,,,,,,,,,,,,,2026-09-25T16:46:51.582Z
S1-SEP-2,dry-S1-6827943-20260925T164651Z,S1,verification,S1-SEP,S1-SEP-P1,sepolia,groth16,verify_credential,G16-d11-p1,reverted,status_0,0x0cc49e3c0835c55e04c51ac8938d59b3fd0fd7b600470e3ec3a101165238a9fd,223958,2500000000,559895000000000,1,1.345,507.06,508.405,2,13,2026-09-25T16:46:51.000Z,12,,,2026-09-25T16:46:51.585Z
S1-SEP-3,dry-S1-6827943-20260925T164651Z,S1,verification,S1-SEP,S1-SEP-P2,sepolia,plonk,verify_credential,PLK-d11-p1,submitted_no_receipt,receipt_timeout,0x50772df7b45f509328e4e38888f92cd577c7a824ac8345de81fb6ff0a2b5927a,,,,,3.799,,,9,,,13,,,2026-09-25T16:46:52.107Z
S1-SEP-4,dry-S1-6827943-20260925T164651Z,S1,verification,S1-SEP,S1-SEP-P2,sepolia,groth16,verify_credential,G16-d11-p0,unsent_preflight_failure,halted_after_no_receipt,,,,,,,,,,,,,,,
S1-ERA-1,dry-S1-6827943-20260925T164651Z,S1,verification,S1-ERA,S1-ERA-P1,era-sepolia,plonk,verify_credential,PLK-d11-p0,unsent_insufficient_balance,node_insufficient_funds,,,,,,,,,,,,,,,2026-09-25T16:46:56.170Z
S1-ERA-2,dry-S1-6827943-20260925T164651Z,S1,verification,S1-ERA,S1-ERA-P1,era-sepolia,groth16,verify_credential,G16-d11-p0,unsent_client_error,fee_rpc_jsonrpc,,,,,,,,,,,,,,,
S1-ERA-3,dry-S1-6827943-20260925T164651Z,S1,verification,S1-ERA,S1-ERA-P2,era-sepolia,plonk,verify_credential,PLK-d11-p1,confirmed_success,send_error_tx_known,0x6b3ddf3b3b6fbebd100eb8dfdb8ad694021b7702b0d0606d4d9b6d985b4e0448,454329,25000000,11358225000000,1,,,1017.299,3,57,2026-09-25T16:47:35.000Z,56,19,,2026-09-25T16:46:56.178Z
S1-ERA-4,dry-S1-6827943-20260925T164651Z,S1,verification,S1-ERA,S1-ERA-P2,era-sepolia,groth16,verify_credential,G16-d11-p1,unsent_insufficient_balance,balance_below_required,,,,,,,,,,,,,,,
