session_id,network,backend,planned,confirmed_success,session_first_t0_utc,gas_used_median,receipt_fee_wei_median,effective_gas_price_median,request_to_receipt_ms_median,request_to_receipt_ms_min,request_to_receipt_ms_max
S1,era-sepolia,groth16,2,0,,,,,,,
S1,era-sepolia,plonk,2,1,2026-09-25T16:46:56.170Z,454329,11358225000000,25000000,1017.299,1017.299,1017.299
S1,sepolia,groth16,2,0,2026-09-25T16:46:51.585Z,,,,,,
S1,sepolia,plonk,2,0,2026-09-25T16:46:51.582Z,,,,,,
