session_id,network,backend,planned,confirmed_success,session_first_t0_utc,gas_used_median,receipt_fee_wei_median,effective_gas_price_median,request_to_receipt_ms_median,request_to_receipt_ms_min,request_to_receipt_ms_max
S1,era-sepolia,groth16,2,0,,,,,,,
S1,era-sepolia,plonk,2,1,2026-09-25T15:13:23.600Z,454329,11358225000000,25000000,1010.915,1010.915,1010.915
S1,sepolia,groth16,2,0,2026-09-25T15:13:18.502Z,,,,,,
S1,sepolia,plonk,2,0,2026-09-25T15:13:18.499Z,,,,,,
