profile_id,metric,depth,quantity,rounds,n,median,min,max,values,definition
cpu4,prove_ms,5,plonk_over_groth16,1-5,5,73.5034,70.9146,79.3404,r1=74.4086;r2=70.9146;r3=73.5034;r4=71.0223;r5=79.3404,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu4,prove_ms,6,plonk_over_groth16,1-5,5,65.1307,62.4656,72.662,r1=65.1307;r2=67.1772;r3=65.0759;r4=62.4656;r5=72.662,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu4,prove_ms,7,plonk_over_groth16,1-5,5,61.6938,58.9042,66.9057,r1=61.6938;r2=58.9042;r3=64.8055;r4=61.3178;r5=66.9057,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu4,prove_ms,8,plonk_over_groth16,1-5,5,51.8849,50.6382,53.91,r1=50.6382;r2=53.91;r3=51.189;r4=51.8849;r5=52.2373,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu4,prove_ms,9,plonk_over_groth16,1-5,5,49.454,48.6375,55.6901,r1=48.6375;r2=49.1098;r3=49.454;r4=49.9913;r5=55.6901,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu4,prove_ms,10,plonk_over_groth16,1-5,5,47.0499,46.2598,51.6298,r1=47.6182;r2=46.7889;r3=46.2598;r4=47.0499;r5=51.6298,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu4,prove_ms,11,plonk_over_groth16,1-5,5,85.4977,83.5464,91.989,r1=83.5464;r2=85.908;r3=85.4977;r4=85.0967;r5=91.989,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu4,prove_ms,12,plonk_over_groth16,1-5,5,81.0156,78.0346,89.9166,r1=80.4849;r2=78.0346;r3=81.0156;r4=83.8055;r5=89.9166,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu4,prove_ms,13,plonk_over_groth16,1-5,5,80.9252,77.8262,87.6386,r1=82.9033;r2=80.9252;r3=77.8262;r4=78.9429;r5=87.6386,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu4,prove_ms,14,plonk_over_groth16,1-5,5,77.3144,75.1,85.029,r1=76.0743;r2=77.3144;r3=77.9205;r4=75.1;r5=85.029,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu4,prove_ms,15,plonk_over_groth16,1-5,5,74.5183,71.3673,82.5056,r1=72.6823;r2=71.3673;r3=75.7348;r4=74.5183;r5=82.5056,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu4,prove_ms,all,range_of_depth_medians,1-5,11,73.5034,47.0499,85.4977,d5=73.5034;d6=65.1307;d7=61.6938;d8=51.8849;d9=49.454;d10=47.0499;d11=85.4977;d12=81.0156;d13=80.9252;d14=77.3144;d15=74.5183,min and max over depths of the per-depth median ratio (median shown for reference)
cpu4,wall_ms,5,plonk_over_groth16,1-5,5,62.8752,61.265,68.3012,r1=64.2188;r2=61.5496;r3=62.8752;r4=61.265;r5=68.3012,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu4,wall_ms,6,plonk_over_groth16,1-5,5,57.3768,55.2061,63.245,r1=56.9795;r2=58.8086;r3=57.3768;r4=55.2061;r5=63.245,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu4,wall_ms,7,plonk_over_groth16,1-5,5,53.7823,52.1471,59.4477,r1=53.0254;r2=52.1471;r3=56.8546;r4=53.7823;r5=59.4477,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu4,wall_ms,8,plonk_over_groth16,1-5,5,46.1612,45.6573,47.4309,r1=45.6573;r2=47.4309;r3=46.1041;r4=46.1612;r5=46.4119,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu4,wall_ms,9,plonk_over_groth16,1-5,5,44.1085,43.8084,49.8835,r1=43.902;r2=43.8084;r3=44.1085;r4=44.7763;r5=49.8835,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu4,wall_ms,10,plonk_over_groth16,1-5,5,42.3814,41.63,46.0831,r1=42.7892;r2=42.0169;r3=41.63;r4=42.3814;r5=46.0831,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu4,wall_ms,11,plonk_over_groth16,1-5,5,75.651,74.6039,81.1436,r1=74.6039;r2=76.3892;r3=75.651;r4=75.6275;r5=81.1436,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu4,wall_ms,12,plonk_over_groth16,1-5,5,71.2327,69.4296,79.1184,r1=69.9571;r2=69.4296;r3=71.2327;r4=72.0562;r5=79.1184,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu4,wall_ms,13,plonk_over_groth16,1-5,5,65.8223,64.4152,72.7662,r1=67.4253;r2=65.8223;r3=64.4152;r4=65.4625;r5=72.7662,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu4,wall_ms,14,plonk_over_groth16,1-5,5,60.3738,57.5041,67.2023,r1=60.3738;r2=60.5577;r3=59.1466;r4=57.5041;r5=67.2023,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu4,wall_ms,15,plonk_over_groth16,1-5,5,48.727,47.0601,54.3636,r1=48.727;r2=47.0601;r3=50.2587;r4=48.418;r5=54.3636,"PLONK_r(d)/Groth16_r(d), wall_ms"
cpu4,wall_ms,all,range_of_depth_medians,1-5,11,57.3768,42.3814,75.651,d5=62.8752;d6=57.3768;d7=53.7823;d8=46.1612;d9=44.1085;d10=42.3814;d11=75.651;d12=71.2327;d13=65.8223;d14=60.3738;d15=48.727,min and max over depths of the per-depth median ratio (median shown for reference)
cpu8,prove_ms,5,plonk_over_groth16,1-5,5,91.7925,88.5056,93.8963,r1=91.7925;r2=93.8963;r3=92.9771;r4=89.347;r5=88.5056,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu8,prove_ms,6,plonk_over_groth16,1-5,5,87.5605,84.5246,88.462,r1=87.5605;r2=88.462;r3=86.9675;r4=84.5246;r5=88.1166,"PLONK_r(d)/Groth16_r(d), prove_ms"
cpu8,prove_ms,7,plonk_over_groth16,1-5,5,80.0609,77.2738,82.7801,r1=82.4531;r2=80.0609;r3=79.2427;r4=77.2738;r5=82.7801,"PLONK_r(d)/Groth16_r(d), prove_ms"
