profile_id,backend,depth,stage,role,rounds,n,median,q1,q3,iqr,min,max
cpu2,groth16,13,wall_ms,total,1-5,5,506.159,494.437,524.22,29.783,490.853,546.012
cpu2,groth16,13,stage_sum_ms,diagnostic,1-5,5,506.128,494.41,524.196,29.786,490.829,545.989
cpu2,groth16,14,input_ms,stage,1-5,5,49.572,46.602,53.609,7.007,46.333,59.236
cpu2,groth16,14,witness_ms,stage,1-5,5,29.893,29.818,30.489,0.671,29.693,38.871
cpu2,groth16,14,prove_ms,stage,1-5,5,439.296,435.423,459.962,24.539,433.028,466.12
cpu2,groth16,14,verify_first_ms,stage,1-5,5,11.799,9.959,13.108,3.149,9.937,14.361
cpu2,groth16,14,verify_steady_ms,stage,1-5,5,10.477,10.06,10.698,0.638,9.917,11.726
cpu2,groth16,14,wall_ms,total,1-5,5,540.245,539.901,546.363,6.462,528.615,552.106
cpu2,groth16,14,stage_sum_ms,diagnostic,1-5,5,540.224,539.869,546.34,6.471,528.593,552.083
cpu2,groth16,15,input_ms,stage,1-5,5,119.111,118.029,120.613,2.584,108.253,126.577
cpu2,groth16,15,witness_ms,stage,1-5,5,36.618,30.334,37.097,6.763,27.372,38.882
cpu2,groth16,15,prove_ms,stage,1-5,5,490.249,489.492,498.429,8.937,488.365,504.173
cpu2,groth16,15,verify_first_ms,stage,1-5,5,12.972,12.568,14.221,1.653,10.111,19.236
cpu2,groth16,15,verify_steady_ms,stage,1-5,5,12.367,10.431,12.403,1.972,10.317,12.698
cpu2,groth16,15,wall_ms,total,1-5,5,658.998,657.298,666.417,9.119,652.507,667.636
cpu2,groth16,15,stage_sum_ms,diagnostic,1-5,5,658.971,657.271,666.379,9.108,652.473,667.609
cpu2,groth16,5,input_ms,stage,1-10,10,0.7975,0.774,0.84925,0.07525,0.606,1.502
cpu2,groth16,5,witness_ms,stage,1-10,10,22.4875,21.5802,24.9432,3.363,19.745,27.562
cpu2,groth16,5,prove_ms,stage,1-10,10,266.399,250.809,271.624,20.815,237.506,281.181
