profile_id,backend,depth,quantity,rounds,n,median,min,max,values,definition
cpu8,plonk,11,paired_ratio_mem_over_path,1-5,5,0.994493,0.991288,1.01684,dr1=1.01684;dr2=1.00377;dr3=0.994493;dr4=0.993432;dr5=0.991288,"mem / path, same diagnostic round"
cpu8,plonk,11,zkey_readfile_ms,1-5,5,37.73,34.183,38.274,dr1=34.183;dr2=35.575;dr3=37.73;dr4=38.274;dr5=38.208,fs.readFileSync(zkey) before the mem call
cpu8,plonk,15,path_prove_ms,1-5,5,18690,18424.5,18715.6,dr1=18713.2;dr2=18424.5;dr3=18715.6;dr4=18538.3;dr5=18690,prove_ms of the path call
cpu8,plonk,15,mem_prove_ms,1-5,5,18566.9,18431.2,18596.1,dr1=18588.5;dr2=18566.9;dr3=18431.2;dr4=18434.5;dr5=18596.1,prove_ms of the mem call
cpu8,plonk,15,paired_diff_path_minus_mem_ms,1-5,5,103.773,-142.456,284.364,dr1=124.675;dr2=-142.456;dr3=284.364;dr4=103.773;dr5=93.981,"path - mem, same diagnostic round"
cpu8,plonk,15,paired_ratio_mem_over_path,1-5,5,0.994402,0.984806,1.00773,dr1=0.993338;dr2=1.00773;dr3=0.984806;dr4=0.994402;dr5=0.994972,"mem / path, same diagnostic round"
cpu8,plonk,15,zkey_readfile_ms,1-5,5,37.157,34.427,38.897,dr1=34.427;dr2=37.184;dr3=38.897;dr4=37.157;dr5=35.581,fs.readFileSync(zkey) before the mem call
cpu8,plonk,11/10,A_boundary_d11_over_d10_path,1-5,5,1.95276,1.92876,2.25425,dr1=1.94067;dr2=1.92876;dr3=1.96268;dr4=1.95276;dr5=2.25425,"prove(11)/prove(10), path calls"
cpu8,plonk,11/10,A_boundary_d11_over_d10_mem,1-5,5,1.97048,1.952,2.24657,dr1=1.97048;dr2=1.98558;dr3=1.95988;dr4=1.952;dr5=2.24657,"prove(11)/prove(10), mem calls"
cpu8,plonk,10/5,plateau_end_L_d10_over_d5_path,1-5,5,0.989916,0.908052,1.01242,dr1=0.950184;dr2=1.01242;dr3=0.989916;dr4=1.01004;dr5=0.908052,"prove(10)/prove(5), path calls"
cpu8,plonk,10/5,plateau_end_L_d10_over_d5_mem,1-5,5,1.00821,0.994301,1.01521,dr1=1.01521;dr2=0.994301;dr3=1.01096;dr4=1.00821;dr5=0.997471,"prove(10)/prove(5), mem calls"
cpu8,plonk,15/11,plateau_end_U_d15_over_d11_path,1-5,5,0.999248,0.879692,1.01192,dr1=1.01192;dr2=0.999248;dr3=1.00522;dr4=0.997247;dr5=0.879692,"prove(15)/prove(11), path calls"
cpu8,plonk,15/11,plateau_end_U_d15_over_d11_mem,1-5,5,0.995433,0.882961,1.00319,dr1=0.988534;dr2=1.00319;dr3=0.995433;dr4=0.998222;dr5=0.882961,"prove(15)/prove(11), mem calls"
cpu8,groth16,8/7,B_boundary_d8_over_d7_path,1-5,5,1.17129,1.161,1.21317,dr1=1.17659;dr2=1.21317;dr3=1.16917;dr4=1.161;dr5=1.17129,"prove(8)/prove(7), path calls"
cpu8,groth16,8/7,B_boundary_d8_over_d7_mem,1-5,5,1.14876,1.11857,1.18379,dr1=1.18379;dr2=1.14876;dr3=1.14735;dr4=1.11857;dr5=1.16695,"prove(8)/prove(7), mem calls"
cpu8,groth16,7/5,plateau_end_L_d7_over_d5_path,1-5,5,1.17943,1.13032,1.19022,dr1=1.13032;dr2=1.15784;dr3=1.19022;dr4=1.17943;dr5=1.17997,"prove(7)/prove(5), path calls"
cpu8,groth16,7/5,plateau_end_L_d7_over_d5_mem,1-5,5,1.17538,1.13807,1.23644,dr1=1.13807;dr2=1.17538;dr3=1.16443;dr4=1.23644;dr5=1.22304,"prove(7)/prove(5), mem calls"
cpu8,groth16,15/8,plateau_end_U_d15_over_d8_path,1-5,5,1.36019,1.32686,1.37661,dr1=1.36019;dr2=1.32686;dr3=1.37661;dr4=1.36828;dr5=1.35485,"prove(15)/prove(8), path calls"
cpu8,groth16,15/8,plateau_end_U_d15_over_d8_mem,1-5,5,1.36533,1.3525,1.3764,dr1=1.35527;dr2=1.37071;dr3=1.3525;dr4=1.3764;dr5=1.36533,"prove(15)/prove(8), mem calls"
