profile_id,backend,depth,quantity,rounds,n,median,min,max,values,definition
cpu2,plonk,10,paired_ratio_mem_over_path,1-5,5,0.990648,0.988596,0.995176,dr1=0.988596;dr2=0.990648;dr3=0.994932;dr4=0.995176;dr5=0.990301,"mem / path, same diagnostic round"
cpu2,plonk,10,zkey_readfile_ms,1-5,5,21.176,20.997,24.22,dr1=20.997;dr2=21.176;dr3=24.22;dr4=21.165;dr5=22.53,fs.readFileSync(zkey) before the mem call
cpu2,plonk,11,path_prove_ms,1-5,5,23240.8,22920,23356.2,dr1=23240.8;dr2=23056.5;dr3=22920;dr4=23356.2;dr5=23329.3,prove_ms of the path call
cpu2,plonk,11,mem_prove_ms,1-5,5,23140.9,23005.7,23556.8,dr1=23556.8;dr2=23140.9;dr3=23043.4;dr4=23005.7;dr5=23194.8,prove_ms of the mem call
cpu2,plonk,11,paired_diff_path_minus_mem_ms,1-5,5,-84.405,-316.068,350.512,dr1=-316.068;dr2=-84.405;dr3=-123.379;dr4=350.512;dr5=134.431,"path - mem, same diagnostic round"
cpu2,plonk,11,paired_ratio_mem_over_path,1-5,5,1.00366,0.984993,1.0136,dr1=1.0136;dr2=1.00366;dr3=1.00538;dr4=0.984993;dr5=0.994238,"mem / path, same diagnostic round"
cpu2,plonk,11,zkey_readfile_ms,1-5,5,39.621,36.547,41.575,dr1=41.575;dr2=39.823;dr3=36.547;dr4=38.511;dr5=39.621,fs.readFileSync(zkey) before the mem call
cpu2,plonk,15,path_prove_ms,1-5,5,23387.4,23049.6,23543.3,dr1=23543.3;dr2=23049.6;dr3=23203.1;dr4=23387.4;dr5=23410.6,prove_ms of the path call
cpu2,plonk,15,mem_prove_ms,1-5,5,23456,22799.2,23520.2,dr1=23520.2;dr2=23121.7;dr3=22799.2;dr4=23516.4;dr5=23456,prove_ms of the mem call
cpu2,plonk,15,paired_diff_path_minus_mem_ms,1-5,5,-45.358,-128.976,403.944,dr1=23.079;dr2=-72.175;dr3=403.944;dr4=-128.976;dr5=-45.358,"path - mem, same diagnostic round"
cpu2,plonk,15,paired_ratio_mem_over_path,1-5,5,1.00194,0.982591,1.00551,dr1=0.99902;dr2=1.00313;dr3=0.982591;dr4=1.00551;dr5=1.00194,"mem / path, same diagnostic round"
cpu2,plonk,15,zkey_readfile_ms,1-5,5,38.912,33.735,45.219,dr1=38.106;dr2=38.912;dr3=39.314;dr4=33.735;dr5=45.219,fs.readFileSync(zkey) before the mem call
cpu2,plonk,11/10,A_boundary_d11_over_d10_path,1-5,5,1.92748,1.8951,1.94622,dr1=1.8951;dr2=1.92842;dr3=1.91172;dr4=1.94622;dr5=1.92748,"prove(11)/prove(10), path calls"
cpu2,plonk,11/10,A_boundary_d11_over_d10_mem,1-5,5,1.93514,1.92631,1.95375,dr1=1.94303;dr2=1.95375;dr3=1.9318;dr4=1.92631;dr5=1.93514,"prove(11)/prove(10), mem calls"
cpu2,plonk,10/5,plateau_end_L_d10_over_d5_path,1-5,5,1.00136,0.9973,1.01143,dr1=1.01143;dr2=1.00136;dr3=1.00502;dr4=0.9973;dr5=1.00083,"prove(10)/prove(5), path calls"
cpu2,plonk,10/5,plateau_end_L_d10_over_d5_mem,1-5,5,1.00371,0.997732,1.00842,dr1=1.00842;dr2=0.997732;dr3=1.00565;dr4=1.00003;dr5=1.00371,"prove(10)/prove(5), mem calls"
cpu2,plonk,15/11,plateau_end_U_d15_over_d11_path,1-5,5,1.00349,0.999699,1.01302,dr1=1.01302;dr2=0.999699;dr3=1.01235;dr4=1.00134;dr5=1.00349,"prove(15)/prove(11), path calls"
cpu2,plonk,15/11,plateau_end_U_d15_over_d11_mem,1-5,5,0.999171,0.989401,1.0222,dr1=0.998444;dr2=0.999171;dr3=0.989401;dr4=1.0222;dr5=1.01126,"prove(15)/prove(11), mem calls"
cpu2,groth16,8/7,B_boundary_d8_over_d7_path,1-5,5,1.13817,1.00652,1.23678,dr1=1.05017;dr2=1.23678;dr3=1.00652;dr4=1.13817;dr5=1.17019,"prove(8)/prove(7), path calls"
cpu2,groth16,8/7,B_boundary_d8_over_d7_mem,1-5,5,1.08904,1.04731,1.24372,dr1=1.04997;dr2=1.04731;dr3=1.24372;dr4=1.08904;dr5=1.1563,"prove(8)/prove(7), mem calls"
cpu2,groth16,7/5,plateau_end_L_d7_over_d5_path,1-5,5,1.23333,1.16674,1.31475,dr1=1.31475;dr2=1.16674;dr3=1.19285;dr4=1.23333;dr5=1.26492,"prove(7)/prove(5), path calls"
cpu2,groth16,7/5,plateau_end_L_d7_over_d5_mem,1-5,5,1.16586,1.06794,1.32655,dr1=1.32655;dr2=1.21685;dr3=1.06794;dr4=1.16586;dr5=1.16294,"prove(7)/prove(5), mem calls"
cpu2,groth16,15/8,plateau_end_U_d15_over_d8_path,1-5,5,1.29571,1.23844,1.49528,dr1=1.38281;dr2=1.29571;dr3=1.49528;dr4=1.29123;dr5=1.23844,"prove(15)/prove(8), path calls"
cpu2,groth16,15/8,plateau_end_U_d15_over_d8_mem,1-5,5,1.35417,1.29599,1.39277,dr1=1.35417;dr2=1.33972;dr3=1.39277;dr4=1.36372;dr5=1.29599,"prove(15)/prove(8), mem calls"
cpu4,groth16,5,path_prove_ms,1-5,5,147.066,143.225,150.476,dr1=150.476;dr2=143.225;dr3=143.448;dr4=147.066;dr5=150.363,prove_ms of the path call
cpu4,groth16,5,mem_prove_ms,1-5,5,143.305,139.297,146.349,dr1=144.52;dr2=139.297;dr3=143.305;dr4=146.349;dr5=142.184,prove_ms of the mem call
cpu4,groth16,5,paired_diff_path_minus_mem_ms,1-5,5,3.928,0.143,8.179,dr1=5.956;dr2=3.928;dr3=0.143;dr4=0.717;dr5=8.179,"path - mem, same diagnostic round"
cpu4,groth16,5,paired_ratio_mem_over_path,1-5,5,0.972575,0.945605,0.999003,dr1=0.960419;dr2=0.972575;dr3=0.999003;dr4=0.995125;dr5=0.945605,"mem / path, same diagnostic round"
cpu4,groth16,5,zkey_readfile_ms,1-5,5,1.13,0.835,1.195,dr1=0.848;dr2=1.13;dr3=0.835;dr4=1.19;dr5=1.195,fs.readFileSync(zkey) before the mem call
cpu4,groth16,7,path_prove_ms,1-5,5,172.452,166.97,291.043,dr1=167.691;dr2=172.452;dr3=172.822;dr4=166.97;dr5=291.043,prove_ms of the path call
cpu4,groth16,7,mem_prove_ms,1-5,5,173.795,162.306,364.454,dr1=162.603;dr2=174.573;dr3=162.306;dr4=173.795;dr5=364.454,prove_ms of the mem call
cpu4,groth16,7,paired_diff_path_minus_mem_ms,1-5,5,-2.121,-73.411,10.516,dr1=5.088;dr2=-2.121;dr3=10.516;dr4=-6.825;dr5=-73.411,"path - mem, same diagnostic round"
cpu4,groth16,7,paired_ratio_mem_over_path,1-5,5,1.0123,0.939151,1.25223,dr1=0.969658;dr2=1.0123;dr3=0.939151;dr4=1.04088;dr5=1.25223,"mem / path, same diagnostic round"
cpu4,groth16,7,zkey_readfile_ms,1-5,5,1.185,0.824,1.633,dr1=1.293;dr2=0.824;dr3=1.185;dr4=0.949;dr5=1.633,fs.readFileSync(zkey) before the mem call
cpu4,groth16,8,path_prove_ms,1-5,5,193.823,186.972,351.385,dr1=195.882;dr2=193.823;dr3=193.455;dr4=186.972;dr5=351.385,prove_ms of the path call
cpu4,groth16,8,mem_prove_ms,1-5,5,189.669,186.544,250.987,dr1=186.754;dr2=186.544;dr3=189.669;dr4=191.316;dr5=250.987,prove_ms of the mem call
cpu4,groth16,8,paired_diff_path_minus_mem_ms,1-5,5,7.279,-4.344,100.398,dr1=9.128;dr2=7.279;dr3=3.786;dr4=-4.344;dr5=100.398,"path - mem, same diagnostic round"
cpu4,groth16,8,paired_ratio_mem_over_path,1-5,5,0.962445,0.714279,1.02323,dr1=0.953401;dr2=0.962445;dr3=0.98043;dr4=1.02323;dr5=0.714279,"mem / path, same diagnostic round"
cpu4,groth16,8,zkey_readfile_ms,1-5,5,1.24,0.932,1.328,dr1=1.328;dr2=1.24;dr3=1.272;dr4=0.932;dr5=1.014,fs.readFileSync(zkey) before the mem call
