backend,profile_id,quantity,metric,rounds,n,median,min,max,values,definition
groth16,cpu8,adjacent_within_U_pooled,prove_ms,1-10,70,1.04547,0.834522,1.29622,r1:d9/d8=1.02035;r2:d9/d8=1.03669;r3:d9/d8=1.05991;r4:d9/d8=1.07002;r5:d9/d8=1.0551;r6:d9/d8=1.05134;r7:d9/d8=1.04405;r8:d9/d8=1.04412;r9:d9/d8=1.05766;r10:d9/d8=1.05186;r1:d10/d9=1.05445;r2:d10/d9=1.06126;r3:d10/d9=1.05172;r4:d10/d9=1.04157;r5:d10/d9=1.07301;r6:d10/d9=1.03629;r7:d10/d9=1.08596;r8:d10/d9=1.05292;r9:d10/d9=1.02582;r10:d10/d9=1.03661;r1:d11/d10=1.05869;r2:d11/d10=1.03251;r3:d11/d10=1.02111;r4:d11/d10=1.06103;r5:d11/d10=1.0351;r6:d11/d10=1.04542;r7:d11/d10=1.03362;r8:d11/d10=1.07211;r9:d11/d10=1.06297;r10:d11/d10=1.05886;r1:d12/d11=1.04337;r2:d12/d11=1.06889;r3:d12/d11=1.06027;r4:d12/d11=1.05144;r5:d12/d11=1.04924;r6:d12/d11=1.05275;r7:d12/d11=1.0395;r8:d12/d11=1.05965;r9:d12/d11=1.03898;r10:d12/d11=1.04411;r1:d13/d12=1.04615;r2:d13/d12=1.04438;r3:d13/d12=1.03792;r4:d13/d12=1.03721;r5:d13/d12=1.06168;r6:d13/d12=1.05628;r7:d13/d12=1.03284;r8:d13/d12=1.00189;r9:d13/d12=1.29622;r10:d13/d12=1.04001;r1:d14/d13=1.03316;r2:d14/d13=1.04977;r3:d14/d13=1.05748;r4:d14/d13=1.04187;r5:d14/d13=1.04443;r6:d14/d13=1.02784;r7:d14/d13=1.06242;r8:d14/d13=1.03731;r9:d14/d13=0.834522;r10:d14/d13=1.04084;r1:d15/d14=1.05054;r2:d15/d14=1.02379;r3:d15/d14=1.01867;r4:d15/d14=1.06215;r5:d15/d14=0.994926;r6:d15/d14=1.04552;r7:d15/d14=1.02466;r8:d15/d14=1.08288;r9:d15/d14=1.06145;r10:d15/d14=1.04344,"all adjacent ratios within plateau U, pooled over pairs and rounds"
groth16,cpu8,depth_d15_over_d5,prove_ms,6-10,5,1.9148,1.79002,1.92187,r6=1.92187;r7=1.79002;r8=1.91787;r9=1.9148;r10=1.88386,prove_r(15)/prove_r(5)
groth16,cpu8,B_boundary_d8_over_d7,prove_ms,6-10,5,1.17716,1.06169,1.19898,r6=1.19898;r7=1.06169;r8=1.17482;r9=1.18338;r10=1.17716,prove_r(8)/prove_r(7)
groth16,cpu8,S_plateau_medU_over_medL,prove_ms,6-10,5,1.51126,1.47751,1.5434,r6=1.47751;r7=1.50588;r8=1.5434;r9=1.51126;r10=1.51601,"median over d in {8..15} / median over d in {5,6,7}, per round"
groth16,cpu8,adjacent_d6_over_d5,prove_ms,6-10,5,1.07692,1.03713,1.11721,r6=1.11721;r7=1.03713;r8=1.07308;r9=1.08279;r10=1.07692,prove_r(6)/prove_r(5)
groth16,cpu8,adjacent_d7_over_d6,prove_ms,6-10,5,1.08617,1.05413,1.18687,r6=1.05413;r7=1.18687;r8=1.08233;r9=1.08617;r10=1.09139,prove_r(7)/prove_r(6)
groth16,cpu8,adjacent_d8_over_d7,prove_ms,6-10,5,1.17716,1.06169,1.19898,r6=1.19898;r7=1.06169;r8=1.17482;r9=1.18338;r10=1.17716,prove_r(8)/prove_r(7)
groth16,cpu8,adjacent_d9_over_d8,prove_ms,6-10,5,1.05134,1.04405,1.05766,r6=1.05134;r7=1.04405;r8=1.04412;r9=1.05766;r10=1.05186,prove_r(9)/prove_r(8)
groth16,cpu8,adjacent_d10_over_d9,prove_ms,6-10,5,1.03661,1.02582,1.08596,r6=1.03629;r7=1.08596;r8=1.05292;r9=1.02582;r10=1.03661,prove_r(10)/prove_r(9)
groth16,cpu8,adjacent_d11_over_d10,prove_ms,6-10,5,1.05886,1.03362,1.07211,r6=1.04542;r7=1.03362;r8=1.07211;r9=1.06297;r10=1.05886,prove_r(11)/prove_r(10)
groth16,cpu8,adjacent_d12_over_d11,prove_ms,6-10,5,1.04411,1.03898,1.05965,r6=1.05275;r7=1.0395;r8=1.05965;r9=1.03898;r10=1.04411,prove_r(12)/prove_r(11)
groth16,cpu8,adjacent_d13_over_d12,prove_ms,6-10,5,1.04001,1.00189,1.29622,r6=1.05628;r7=1.03284;r8=1.00189;r9=1.29622;r10=1.04001,prove_r(13)/prove_r(12)
groth16,cpu8,adjacent_d14_over_d13,prove_ms,6-10,5,1.03731,0.834522,1.06242,r6=1.02784;r7=1.06242;r8=1.03731;r9=0.834522;r10=1.04084,prove_r(14)/prove_r(13)
groth16,cpu8,adjacent_d15_over_d14,prove_ms,6-10,5,1.04552,1.02466,1.08288,r6=1.04552;r7=1.02466;r8=1.08288;r9=1.06145;r10=1.04344,prove_r(15)/prove_r(14)
groth16,cpu8,adjacent_within_L_pooled,prove_ms,6-10,10,1.08256,1.03713,1.18687,r6:d6/d5=1.11721;r7:d6/d5=1.03713;r8:d6/d5=1.07308;r9:d6/d5=1.08279;r10:d6/d5=1.07692;r6:d7/d6=1.05413;r7:d7/d6=1.18687;r8:d7/d6=1.08233;r9:d7/d6=1.08617;r10:d7/d6=1.09139,"all adjacent ratios within plateau L, pooled over pairs and rounds"
groth16,cpu8,adjacent_within_U_pooled,prove_ms,6-10,35,1.04412,0.834522,1.29622,r6:d9/d8=1.05134;r7:d9/d8=1.04405;r8:d9/d8=1.04412;r9:d9/d8=1.05766;r10:d9/d8=1.05186;r6:d10/d9=1.03629;r7:d10/d9=1.08596;r8:d10/d9=1.05292;r9:d10/d9=1.02582;r10:d10/d9=1.03661;r6:d11/d10=1.04542;r7:d11/d10=1.03362;r8:d11/d10=1.07211;r9:d11/d10=1.06297;r10:d11/d10=1.05886;r6:d12/d11=1.05275;r7:d12/d11=1.0395;r8:d12/d11=1.05965;r9:d12/d11=1.03898;r10:d12/d11=1.04411;r6:d13/d12=1.05628;r7:d13/d12=1.03284;r8:d13/d12=1.00189;r9:d13/d12=1.29622;r10:d13/d12=1.04001;r6:d14/d13=1.02784;r7:d14/d13=1.06242;r8:d14/d13=1.03731;r9:d14/d13=0.834522;r10:d14/d13=1.04084;r6:d15/d14=1.04552;r7:d15/d14=1.02466;r8:d15/d14=1.08288;r9:d15/d14=1.06145;r10:d15/d14=1.04344,"all adjacent ratios within plateau U, pooled over pairs and rounds"
plonk,all,structure_zkey_bytes_d10_over_d5,zkey_bytes,structure,1,1.01874,1.01874,1.01874,d5=50790568;d10=51742588,zkey_bytes(d10)/zkey_bytes(d5) from zkey_bytes recorded in runs.csv
plonk,all,structure_constraints_or_gates_d10_over_d5,constraints_or_gates,structure,1,1.64363,1.64363,1.64363,d5=19227;d10=31602,constraints_or_gates(d10)/constraints_or_gates(d5) from results/constraints/4.2.1-The-Growth-of-Depth-Parameterized-Circuit/20260920T120000-depth5-15-constraints.csv
plonk,all,structure_domain_d10_over_d5,domain,structure,1,1,1,1,d5=32768;d10=32768,domain(d10)/domain(d5) from results/constraints/4.2.1-The-Growth-of-Depth-Parameterized-Circuit/20260920T120000-depth5-15-constraints.csv
plonk,all,structure_zkey_bytes_d15_over_d11,zkey_bytes,structure,1,1.00752,1.00752,1.00752,d11=101216064;d15=101977680,zkey_bytes(d15)/zkey_bytes(d11) from zkey_bytes recorded in runs.csv
plonk,all,structure_constraints_or_gates_d15_over_d11,constraints_or_gates,structure,1,1.29052,1.29052,1.29052,d11=34077;d15=43977,constraints_or_gates(d15)/constraints_or_gates(d11) from results/constraints/4.2.1-The-Growth-of-Depth-Parameterized-Circuit/20260920T120000-depth5-15-constraints.csv
plonk,all,structure_domain_d15_over_d11,domain,structure,1,1,1,1,d11=65536;d15=65536,domain(d15)/domain(d11) from results/constraints/4.2.1-The-Growth-of-Depth-Parameterized-Circuit/20260920T120000-depth5-15-constraints.csv
groth16,all,structure_zkey_bytes_d7_over_d5,zkey_bytes,structure,1,1.21256,1.21256,1.21256,d5=1133343;d7=1374247,zkey_bytes(d7)/zkey_bytes(d5) from zkey_bytes recorded in runs.csv
groth16,all,structure_constraints_or_gates_d7_over_d5,constraints_or_gates,structure,1,1.32143,1.32143,1.32143,d5=1512;d7=1998,constraints_or_gates(d7)/constraints_or_gates(d5) from results/constraints/4.2.1-The-Growth-of-Depth-Parameterized-Circuit/20260920T120000-depth5-15-constraints.csv
groth16,all,structure_domain_d7_over_d5,domain,structure,1,1,1,1,d5=2048;d7=2048,domain(d7)/domain(d5) from results/constraints/4.2.1-The-Growth-of-Depth-Parameterized-Circuit/20260920T120000-depth5-15-constraints.csv
groth16,all,structure_zkey_bytes_d15_over_d8,zkey_bytes,structure,1,1.51862,1.51862,1.51862,d8=1625771;d15=2468935,zkey_bytes(d15)/zkey_bytes(d8) from zkey_bytes recorded in runs.csv
groth16,all,structure_constraints_or_gates_d15_over_d8,constraints_or_gates,structure,1,1.75904,1.75904,1.75904,d8=2241;d15=3942,constraints_or_gates(d15)/constraints_or_gates(d8) from results/constraints/4.2.1-The-Growth-of-Depth-Parameterized-Circuit/20260920T120000-depth5-15-constraints.csv
groth16,all,structure_domain_d15_over_d8,domain,structure,1,1,1,1,d8=4096;d15=4096,domain(d15)/domain(d8) from results/constraints/4.2.1-The-Growth-of-Depth-Parameterized-Circuit/20260920T120000-depth5-15-constraints.csv
groth16,all,structure_zkey_bytes_d8_over_d7,zkey_bytes,structure,1,1.18303,1.18303,1.18303,d7=1374247;d8=1625771,zkey_bytes(d8)/zkey_bytes(d7) from zkey_bytes recorded in runs.csv
groth16,all,structure_constraints_or_gates_d8_over_d7,constraints_or_gates,structure,1,1.12162,1.12162,1.12162,d7=1998;d8=2241,constraints_or_gates(d8)/constraints_or_gates(d7) from results/constraints/4.2.1-The-Growth-of-Depth-Parameterized-Circuit/20260920T120000-depth5-15-constraints.csv
groth16,all,structure_domain_d8_over_d7,domain,structure,1,2,2,2,d7=2048;d8=4096,domain(d8)/domain(d7) from results/constraints/4.2.1-The-Growth-of-Depth-Parameterized-Circuit/20260920T120000-depth5-15-constraints.csv
plonk,all,structure_zkey_bytes_d11_over_d10,zkey_bytes,structure,1,1.95615,1.95615,1.95615,d10=51742588;d11=101216064,zkey_bytes(d11)/zkey_bytes(d10) from zkey_bytes recorded in runs.csv
plonk,all,structure_constraints_or_gates_d11_over_d10,constraints_or_gates,structure,1,1.07832,1.07832,1.07832,d10=31602;d11=34077,constraints_or_gates(d11)/constraints_or_gates(d10) from results/constraints/4.2.1-The-Growth-of-Depth-Parameterized-Circuit/20260920T120000-depth5-15-constraints.csv
plonk,all,structure_domain_d11_over_d10,domain,structure,1,2,2,2,d10=32768;d11=65536,domain(d11)/domain(d10) from results/constraints/4.2.1-The-Growth-of-Depth-Parameterized-Circuit/20260920T120000-depth5-15-constraints.csv
