backend,profile_id,quantity,metric,rounds,n,median,min,max,values,definition
groth16,cpu4,adjacent_within_U_pooled,prove_ms,1-10,70,1.04376,0.962454,1.13875,r1:d9/d8=1.03702;r2:d9/d8=1.11013;r3:d9/d8=1.02978;r4:d9/d8=1.04133;r5:d9/d8=1.0465;r6:d9/d8=1.02724;r7:d9/d8=1.13875;r8:d9/d8=1.05878;r9:d9/d8=1.07263;r10:d9/d8=1.07756;r1:d10/d9=1.02488;r2:d10/d9=1.0337;r3:d10/d9=1.08123;r4:d10/d9=1.06373;r5:d10/d9=1.07896;r6:d10/d9=1.0763;r7:d10/d9=1.00034;r8:d10/d9=1.06087;r9:d10/d9=1.03523;r10:d10/d9=1.02423;r1:d11/d10=1.08639;r2:d11/d10=1.06003;r3:d11/d10=1.04296;r4:d11/d10=1.06917;r5:d11/d10=1.08411;r6:d11/d10=1.02148;r7:d11/d10=1.10018;r8:d11/d10=0.989695;r9:d11/d10=1.04455;r10:d11/d10=1.05538;r1:d12/d11=1.04754;r2:d12/d11=1.09978;r3:d12/d11=1.0424;r4:d12/d11=1.00851;r5:d12/d11=1.0206;r6:d12/d11=1.076;r7:d12/d11=0.97476;r8:d12/d11=1.1171;r9:d12/d11=1.03067;r10:d12/d11=1.02953;r1:d13/d12=0.974045;r2:d13/d12=0.962454;r3:d13/d12=1.05787;r4:d13/d12=1.05659;r5:d13/d12=1.02921;r6:d13/d12=1.02384;r7:d13/d12=1.06508;r8:d13/d12=1.02353;r9:d13/d12=1.06687;r10:d13/d12=1.05568;r1:d14/d13=1.08031;r2:d14/d13=1.03881;r3:d14/d13=1.00089;r4:d14/d13=1.05594;r5:d14/d13=1.03004;r6:d14/d13=1.04645;r7:d14/d13=1.01829;r8:d14/d13=1.03009;r9:d14/d13=1.06818;r10:d14/d13=0.998241;r1:d15/d14=1.04983;r2:d15/d14=1.08653;r3:d15/d14=1.02053;r4:d15/d14=1.01424;r5:d15/d14=1.03484;r6:d15/d14=1.01787;r7:d15/d14=1.12681;r8:d15/d14=1.0219;r9:d15/d14=1.03142;r10:d15/d14=1.09079,"all adjacent ratios within plateau U, pooled over pairs and rounds"
groth16,cpu4,depth_d15_over_d5,prove_ms,6-10,5,1.83647,1.79128,2.00787,r6=1.83647;r7=2.00787;r8=1.79128;r9=1.92315;r10=1.80272,prove_r(15)/prove_r(5)
groth16,cpu4,B_boundary_d8_over_d7,prove_ms,6-10,5,1.14912,1.13639,1.18896,r6=1.14586;r7=1.16339;r8=1.13639;r9=1.14912;r10=1.18896,prove_r(8)/prove_r(7)
groth16,cpu4,S_plateau_medU_over_medL,prove_ms,6-10,5,1.40326,1.34382,1.54937,r6=1.36567;r7=1.54937;r8=1.34382;r9=1.40326;r10=1.47498,"median over d in {8..15} / median over d in {5,6,7}, per round"
groth16,cpu4,adjacent_d6_over_d5,prove_ms,6-10,5,1.14861,1.048,1.20474,r6=1.18953;r7=1.07415;r8=1.20474;r9=1.14861;r10=1.048,prove_r(6)/prove_r(5)
groth16,cpu4,adjacent_d7_over_d6,prove_ms,6-10,5,1.03692,0.977896,1.07623,r6=1.01669;r7=1.07623;r8=0.977896;r9=1.03692;r10=1.04955,prove_r(7)/prove_r(6)
groth16,cpu4,adjacent_d8_over_d7,prove_ms,6-10,5,1.14912,1.13639,1.18896,r6=1.14586;r7=1.16339;r8=1.13639;r9=1.14912;r10=1.18896,prove_r(8)/prove_r(7)
groth16,cpu4,adjacent_d9_over_d8,prove_ms,6-10,5,1.07263,1.02724,1.13875,r6=1.02724;r7=1.13875;r8=1.05878;r9=1.07263;r10=1.07756,prove_r(9)/prove_r(8)
groth16,cpu4,adjacent_d10_over_d9,prove_ms,6-10,5,1.03523,1.00034,1.0763,r6=1.0763;r7=1.00034;r8=1.06087;r9=1.03523;r10=1.02423,prove_r(10)/prove_r(9)
groth16,cpu4,adjacent_d11_over_d10,prove_ms,6-10,5,1.04455,0.989695,1.10018,r6=1.02148;r7=1.10018;r8=0.989695;r9=1.04455;r10=1.05538,prove_r(11)/prove_r(10)
groth16,cpu4,adjacent_d12_over_d11,prove_ms,6-10,5,1.03067,0.97476,1.1171,r6=1.076;r7=0.97476;r8=1.1171;r9=1.03067;r10=1.02953,prove_r(12)/prove_r(11)
groth16,cpu4,adjacent_d13_over_d12,prove_ms,6-10,5,1.05568,1.02353,1.06687,r6=1.02384;r7=1.06508;r8=1.02353;r9=1.06687;r10=1.05568,prove_r(13)/prove_r(12)
groth16,cpu4,adjacent_d14_over_d13,prove_ms,6-10,5,1.03009,0.998241,1.06818,r6=1.04645;r7=1.01829;r8=1.03009;r9=1.06818;r10=0.998241,prove_r(14)/prove_r(13)
groth16,cpu4,adjacent_d15_over_d14,prove_ms,6-10,5,1.03142,1.01787,1.12681,r6=1.01787;r7=1.12681;r8=1.0219;r9=1.03142;r10=1.09079,prove_r(15)/prove_r(14)
groth16,cpu4,adjacent_within_L_pooled,prove_ms,6-10,10,1.06185,0.977896,1.20474,r6:d6/d5=1.18953;r7:d6/d5=1.07415;r8:d6/d5=1.20474;r9:d6/d5=1.14861;r10:d6/d5=1.048;r6:d7/d6=1.01669;r7:d7/d6=1.07623;r8:d7/d6=0.977896;r9:d7/d6=1.03692;r10:d7/d6=1.04955,"all adjacent ratios within plateau L, pooled over pairs and rounds"
groth16,cpu4,adjacent_within_U_pooled,prove_ms,6-10,35,1.04455,0.97476,1.13875,r6:d9/d8=1.02724;r7:d9/d8=1.13875;r8:d9/d8=1.05878;r9:d9/d8=1.07263;r10:d9/d8=1.07756;r6:d10/d9=1.0763;r7:d10/d9=1.00034;r8:d10/d9=1.06087;r9:d10/d9=1.03523;r10:d10/d9=1.02423;r6:d11/d10=1.02148;r7:d11/d10=1.10018;r8:d11/d10=0.989695;r9:d11/d10=1.04455;r10:d11/d10=1.05538;r6:d12/d11=1.076;r7:d12/d11=0.97476;r8:d12/d11=1.1171;r9:d12/d11=1.03067;r10:d12/d11=1.02953;r6:d13/d12=1.02384;r7:d13/d12=1.06508;r8:d13/d12=1.02353;r9:d13/d12=1.06687;r10:d13/d12=1.05568;r6:d14/d13=1.04645;r7:d14/d13=1.01829;r8:d14/d13=1.03009;r9:d14/d13=1.06818;r10:d14/d13=0.998241;r6:d15/d14=1.01787;r7:d15/d14=1.12681;r8:d15/d14=1.0219;r9:d15/d14=1.03142;r10:d15/d14=1.09079,"all adjacent ratios within plateau U, pooled over pairs and rounds"
plonk,cpu8,A_boundary_d11_over_d10,prove_ms,1-5,5,1.95752,1.94615,2.00595,r1=1.94615;r2=1.95175;r3=1.95752;r4=2.00595;r5=1.96006,prove_r(11)/prove_r(10)
plonk,cpu8,S_plateau_medU_over_medL,prove_ms,1-5,5,1.9615,1.93929,1.96788,r1=1.9547;r2=1.96788;r3=1.96191;r4=1.9615;r5=1.93929,"median over d in {11..15} / median over d in {5..10}, per round"
plonk,cpu8,plateau_end_L_d10_over_d5,prove_ms,1-5,5,1.00167,0.999177,1.01615,r1=1.01372;r2=1.01615;r3=1.00167;r4=1.00092;r5=0.999177,prove_r(10)/prove_r(5)
plonk,cpu8,plateau_end_U_d15_over_d11,prove_ms,1-5,5,0.997212,0.970651,1.02139,r1=1.02139;r2=0.998069;r3=0.997212;r4=0.970651;r5=0.988435,prove_r(15)/prove_r(11)
plonk,cpu8,adjacent_d6_over_d5,prove_ms,1-5,5,1.00578,0.996221,1.01536,r1=1.00679;r2=1.01536;r3=1.00578;r4=0.996221;r5=0.997263,"prove_r(6)/prove_r(5), within plateau L"
plonk,cpu8,adjacent_d7_over_d6,prove_ms,1-5,5,0.999927,0.990727,1.00862,r1=1.00198;r2=0.990727;r3=0.994716;r4=1.00862;r5=0.999927,"prove_r(7)/prove_r(6), within plateau L"
plonk,cpu8,adjacent_d8_over_d7,prove_ms,1-5,5,0.994923,0.987302,1.00849,r1=1.00849;r2=0.991551;r3=0.999298;r4=0.994923;r5=0.987302,"prove_r(8)/prove_r(7), within plateau L"
plonk,cpu8,adjacent_d9_over_d8,prove_ms,1-5,5,1.01228,0.988413,1.01742,r1=0.988413;r2=1.01228;r3=1.01742;r4=1.00655;r5=1.01719,"prove_r(9)/prove_r(8), within plateau L"
plonk,cpu8,adjacent_d10_over_d9,prove_ms,1-5,5,0.997729,0.984747,1.00812,r1=1.00812;r2=1.00639;r3=0.984747;r4=0.994704;r5=0.997729,"prove_r(10)/prove_r(9), within plateau L"
plonk,cpu8,adjacent_within_L_pooled,prove_ms,1-5,25,0.999927,0.984747,1.01742,r1:d6/d5=1.00679;r2:d6/d5=1.01536;r3:d6/d5=1.00578;r4:d6/d5=0.996221;r5:d6/d5=0.997263;r1:d7/d6=1.00198;r2:d7/d6=0.990727;r3:d7/d6=0.994716;r4:d7/d6=1.00862;r5:d7/d6=0.999927;r1:d8/d7=1.00849;r2:d8/d7=0.991551;r3:d8/d7=0.999298;r4:d8/d7=0.994923;r5:d8/d7=0.987302;r1:d9/d8=0.988413;r2:d9/d8=1.01228;r3:d9/d8=1.01742;r4:d9/d8=1.00655;r5:d9/d8=1.01719;r1:d10/d9=1.00812;r2:d10/d9=1.00639;r3:d10/d9=0.984747;r4:d10/d9=0.994704;r5:d10/d9=0.997729,"all adjacent ratios within plateau L, pooled over pairs and rounds"
plonk,cpu8,adjacent_d12_over_d11,prove_ms,1-5,5,0.998508,0.97818,1.00235,r1=0.998508;r2=1.00182;r3=1.00235;r4=0.97818;r5=0.988456,"prove_r(12)/prove_r(11), within plateau U"
plonk,cpu8,adjacent_d13_over_d12,prove_ms,1-5,5,0.993195,0.986028,1.00582,r1=0.989963;r2=0.986028;r3=1.00582;r4=0.994744;r5=0.993195,"prove_r(13)/prove_r(12), within plateau U"
plonk,cpu8,adjacent_d14_over_d13,prove_ms,1-5,5,1.00738,0.993505,1.02714,r1=1.00738;r2=1.02406;r3=0.993505;r4=1.00447;r5=1.02714,"prove_r(14)/prove_r(13), within plateau U"
plonk,cpu8,adjacent_d15_over_d14,prove_ms,1-5,5,0.993109,0.980229,1.02571,r1=1.02571;r2=0.986627;r3=0.995577;r4=0.993109;r5=0.980229,"prove_r(15)/prove_r(14), within plateau U"
plonk,cpu8,adjacent_within_U_pooled,prove_ms,1-5,20,0.995161,0.97818,1.02714,r1:d12/d11=0.998508;r2:d12/d11=1.00182;r3:d12/d11=1.00235;r4:d12/d11=0.97818;r5:d12/d11=0.988456;r1:d13/d12=0.989963;r2:d13/d12=0.986028;r3:d13/d12=1.00582;r4:d13/d12=0.994744;r5:d13/d12=0.993195;r1:d14/d13=1.00738;r2:d14/d13=1.02406;r3:d14/d13=0.993505;r4:d14/d13=1.00447;r5:d14/d13=1.02714;r1:d15/d14=1.02571;r2:d15/d14=0.986627;r3:d15/d14=0.995577;r4:d15/d14=0.993109;r5:d15/d14=0.980229,"all adjacent ratios within plateau U, pooled over pairs and rounds"
groth16,cpu8,depth_d15_over_d5,prove_ms,1-5,5,1.86853,1.70254,1.8854,r1=1.86853;r2=1.8854;r3=1.87953;r4=1.86263;r5=1.70254,prove_r(15)/prove_r(5)
groth16,cpu8,B_boundary_d8_over_d7,prove_ms,1-5,5,1.17722,1.12341,1.23297,r1=1.23297;r2=1.17257;r3=1.18658;r4=1.12341;r5=1.17722,prove_r(8)/prove_r(7)
groth16,cpu8,S_plateau_medU_over_medL,prove_ms,1-5,5,1.50835,1.50333,1.52675,r1=1.52675;r2=1.50835;r3=1.51891;r4=1.50333;r5=1.50453,"median over d in {8..15} / median over d in {5,6,7}, per round"
groth16,cpu8,adjacent_d6_over_d5,prove_ms,1-5,5,1.05545,1.00167,1.07774,r1=1.05545;r2=1.07774;r3=1.07528;r4=1.05306;r5=1.00167,prove_r(6)/prove_r(5)
groth16,cpu8,adjacent_d7_over_d6,prove_ms,1-5,5,1.09168,1.06404,1.10326,r1=1.06404;r2=1.09469;r3=1.09168;r4=1.10326;r5=1.06439,prove_r(7)/prove_r(6)
groth16,cpu8,adjacent_d8_over_d7,prove_ms,1-5,5,1.17722,1.12341,1.23297,r1=1.23297;r2=1.17257;r3=1.18658;r4=1.12341;r5=1.17722,prove_r(8)/prove_r(7)
groth16,cpu8,adjacent_d9_over_d8,prove_ms,1-5,5,1.0551,1.02035,1.07002,r1=1.02035;r2=1.03669;r3=1.05991;r4=1.07002;r5=1.0551,prove_r(9)/prove_r(8)
groth16,cpu8,adjacent_d10_over_d9,prove_ms,1-5,5,1.05445,1.04157,1.07301,r1=1.05445;r2=1.06126;r3=1.05172;r4=1.04157;r5=1.07301,prove_r(10)/prove_r(9)
groth16,cpu8,adjacent_d11_over_d10,prove_ms,1-5,5,1.0351,1.02111,1.06103,r1=1.05869;r2=1.03251;r3=1.02111;r4=1.06103;r5=1.0351,prove_r(11)/prove_r(10)
groth16,cpu8,adjacent_d12_over_d11,prove_ms,1-5,5,1.05144,1.04337,1.06889,r1=1.04337;r2=1.06889;r3=1.06027;r4=1.05144;r5=1.04924,prove_r(12)/prove_r(11)
groth16,cpu8,adjacent_d13_over_d12,prove_ms,1-5,5,1.04438,1.03721,1.06168,r1=1.04615;r2=1.04438;r3=1.03792;r4=1.03721;r5=1.06168,prove_r(13)/prove_r(12)
groth16,cpu8,adjacent_d14_over_d13,prove_ms,1-5,5,1.04443,1.03316,1.05748,r1=1.03316;r2=1.04977;r3=1.05748;r4=1.04187;r5=1.04443,prove_r(14)/prove_r(13)
groth16,cpu8,adjacent_d15_over_d14,prove_ms,1-5,5,1.02379,0.994926,1.06215,r1=1.05054;r2=1.02379;r3=1.01867;r4=1.06215;r5=0.994926,prove_r(15)/prove_r(14)
groth16,cpu8,adjacent_within_L_pooled,prove_ms,1-5,10,1.06984,1.00167,1.10326,r1:d6/d5=1.05545;r2:d6/d5=1.07774;r3:d6/d5=1.07528;r4:d6/d5=1.05306;r5:d6/d5=1.00167;r1:d7/d6=1.06404;r2:d7/d6=1.09469;r3:d7/d6=1.09168;r4:d7/d6=1.10326;r5:d7/d6=1.06439,"all adjacent ratios within plateau L, pooled over pairs and rounds"
groth16,cpu8,adjacent_within_U_pooled,prove_ms,1-5,35,1.04924,0.994926,1.07301,r1:d9/d8=1.02035;r2:d9/d8=1.03669;r3:d9/d8=1.05991;r4:d9/d8=1.07002;r5:d9/d8=1.0551;r1:d10/d9=1.05445;r2:d10/d9=1.06126;r3:d10/d9=1.05172;r4:d10/d9=1.04157;r5:d10/d9=1.07301;r1:d11/d10=1.05869;r2:d11/d10=1.03251;r3:d11/d10=1.02111;r4:d11/d10=1.06103;r5:d11/d10=1.0351;r1:d12/d11=1.04337;r2:d12/d11=1.06889;r3:d12/d11=1.06027;r4:d12/d11=1.05144;r5:d12/d11=1.04924;r1:d13/d12=1.04615;r2:d13/d12=1.04438;r3:d13/d12=1.03792;r4:d13/d12=1.03721;r5:d13/d12=1.06168;r1:d14/d13=1.03316;r2:d14/d13=1.04977;r3:d14/d13=1.05748;r4:d14/d13=1.04187;r5:d14/d13=1.04443;r1:d15/d14=1.05054;r2:d15/d14=1.02379;r3:d15/d14=1.01867;r4:d15/d14=1.06215;r5:d15/d14=0.994926,"all adjacent ratios within plateau U, pooled over pairs and rounds"
groth16,cpu8,depth_d15_over_d5,prove_ms,1-10,10,1.8817,1.70254,1.92187,r1=1.86853;r2=1.8854;r3=1.87953;r4=1.86263;r5=1.70254;r6=1.92187;r7=1.79002;r8=1.91787;r9=1.9148;r10=1.88386,prove_r(15)/prove_r(5)
groth16,cpu8,B_boundary_d8_over_d7,prove_ms,1-10,10,1.17719,1.06169,1.23297,r1=1.23297;r2=1.17257;r3=1.18658;r4=1.12341;r5=1.17722;r6=1.19898;r7=1.06169;r8=1.17482;r9=1.18338;r10=1.17716,prove_r(8)/prove_r(7)
