profile_id,backend,depth,rounds,n,verify_first_median,verify_steady_median,first_over_steady_median,first_over_steady_min,first_over_steady_max
cpu4,plonk,12,1-5,5,9.315,7.231,1.26185,1.09509,1.71954
cpu4,plonk,13,1-5,5,7.969,7.265,1.0851,1.06504,1.35704
cpu4,plonk,14,1-5,5,7.815,7.233,1.0746,1.0558,1.49558
cpu4,plonk,15,1-5,5,7.764,7.209,1.08586,1.06629,1.46488
cpu4,plonk,all,1-5,55,7.969,7.238,1.09509,1.034,1.84195
cpu8,groth16,5,1-5,5,6.396,6.056,1.09768,1.01027,1.10441
cpu8,groth16,6,1-5,5,6.317,5.824,1.09461,1.01479,1.18321
cpu8,groth16,7,1-5,5,6.406,5.996,1.10128,0.841282,1.17467
cpu8,groth16,8,1-5,5,6.098,6.072,0.993118,0.926325,1.98725
cpu8,groth16,9,1-5,5,5.862,5.988,1.00198,0.948309,1.03077
cpu8,groth16,10,1-5,5,5.892,5.797,1.00384,0.996372,1.07216
cpu8,groth16,11,1-5,5,5.767,5.984,0.982225,0.922779,1.00941
cpu8,groth16,12,1-5,5,5.902,6.021,0.993068,0.980236,1.02423
cpu8,groth16,13,1-5,5,5.881,5.775,1.01835,0.96191,1.08711
cpu8,groth16,14,1-5,5,6.017,5.894,0.994545,0.977604,1.14826
cpu8,groth16,15,1-5,5,6.158,5.88,1.04728,1.00556,1.53489
cpu8,groth16,all,1-5,55,6.082,5.956,1.01251,0.841282,1.98725
cpu8,groth16,5,1-10,10,6.3615,6.0315,1.05485,0.867299,1.36365
cpu8,groth16,6,1-10,10,6.3045,5.9105,1.06311,0.988975,1.18321
cpu8,groth16,7,1-10,10,6.34,6.024,1.06871,0.841282,1.51372
cpu8,groth16,8,1-10,10,6.0925,6.1545,1.00644,0.926325,1.98725
cpu8,groth16,9,1-10,10,5.9715,6.0235,1.00457,0.924349,1.0328
cpu8,groth16,10,1-10,10,5.9435,5.9205,1.00135,0.91847,1.07216
cpu8,groth16,11,1-10,10,6.03,6.043,0.986564,0.922779,1.49002
cpu8,groth16,12,1-10,10,5.984,6.04,0.988517,0.966488,1.07301
cpu8,groth16,13,1-10,10,5.924,5.863,1.0205,0.941456,1.2905
cpu8,groth16,14,1-10,10,5.955,5.8945,0.993759,0.977604,1.14826
cpu8,groth16,15,1-10,10,6.131,5.995,1.04102,0.956316,1.58424
cpu8,groth16,all,1-10,110,6.088,6,1.01737,0.841282,1.98725
cpu8,plonk,5,1-5,5,7.823,7.297,1.07208,1.06438,1.45917
cpu8,plonk,6,1-5,5,7.67,7.317,1.05605,1.02011,1.06055
cpu8,plonk,7,1-5,5,7.684,7.256,1.05899,1.04369,1.08921
cpu8,plonk,8,1-5,5,7.713,7.287,1.05694,1.0491,1.09853
cpu8,plonk,9,1-5,5,7.752,7.287,1.06325,1.03432,1.0696
cpu8,plonk,10,1-5,5,7.665,7.243,1.06314,1.0469,1.08733
cpu8,plonk,11,1-5,5,7.84,7.396,1.06354,1.04191,1.29543
cpu8,plonk,12,1-5,5,7.692,7.235,1.06467,1.05643,1.073
cpu8,plonk,13,1-5,5,7.694,7.278,1.05233,1.04287,1.07272
cpu8,plonk,14,1-5,5,7.628,7.383,1.03345,1.01951,1.11617
cpu8,plonk,15,1-5,5,7.633,7.336,1.04467,1.03122,1.06614
cpu8,plonk,all,1-5,55,7.706,7.287,1.06035,1.01951,1.45917
