campaign_id,session_id,profile_id,container_id,kind,run_id,round,round_attempt,order_in_round,seed,is_warmup,warmup_kind,backend,depth,leaf_index,started_at_utc,input_ms,witness_ms,prove_ms,verify_first_ms,verify_steady_ms,stage_sum_ms,wall_ms,zkey_bytes,zkey_sha256,proof_valid,root_matches,input_matches_committed,public_root,expected_root,heap_used_mb,rss_mb,image_id,manifest_sha256,status,error
campaign-20260925T060607Z,S20260925T060607Z,cpu4,665d56a3a1e5,primary,campaign-20260925T060607Z/cpu4/primary0a1/round09,0,1,9,0,1,round0,groth16,6,0,2026-09-25T06:19:16.113Z,1.047,15.722,152.851,7.818,7.025,177.438,177.454,1253795,ea2368c5701f4885dc1bd9120ebd0b3419c495066983d2c215030506b1968bd4,1,1,1,4563221289370828604205089111471170542583263583412968862519466540084840336910,4563221289370828604205089111471170542583263583412968862519466540084840336910,11.843,446.059,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,665d56a3a1e5,primary,campaign-20260925T060607Z/cpu4/primary0a1/round010,0,1,10,0,1,round0,plonk,15,0,2026-09-25T06:19:16.313Z,114.333,21.286,19912.612,9.411,7.317,20057.643,20057.674,101977680,590ecdca303cbdece71bd9566d50ed9ad6168b343d2955edb57da417b966d08b,1,1,1,16175814224772832097117886582757018531876340808696504341109560169071733404932,16175814224772832097117886582757018531876340808696504341109560169071733404932,10.871,584.848,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,665d56a3a1e5,primary,campaign-20260925T060607Z/cpu4/primary0a1/round011,0,1,11,0,1,round0,plonk,8,0,2026-09-25T06:19:36.395Z,1.225,16.478,10294.397,7.582,7.216,10319.682,10319.708,51361780,42dce5eab9336cf59161d106dd2c9da704b3a453c67dc5f6a284a94331eca87c,1,1,1,4202603041571593097755192347734702907906852554209131907104891159135181794540,4202603041571593097755192347734702907906852554209131907104891159135181794540,10.77,522.52,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,665d56a3a1e5,primary,campaign-20260925T060607Z/cpu4/primary0a1/round012,0,1,12,0,1,round0,plonk,11,0,2026-09-25T06:19:46.739Z,4.999,16.017,19754.464,7.877,7.182,19783.357,19783.376,101216064,55b85a8c273635d0f8f2cdda0e7ce81b35231792d5212b770681d612dbf1c56a,1,1,1,13741875541804146615197212471377989082753334180286662970428373142262333549779,13741875541804146615197212471377989082753334180286662970428373142262333549779,10.854,509.375,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,665d56a3a1e5,primary,campaign-20260925T060607Z/cpu4/primary0a1/round013,0,1,13,0,1,round0,groth16,15,0,2026-09-25T06:20:06.548Z,100.076,25.041,269.587,8.647,7.22,403.351,403.377,2468935,d6be53096894f276c29d0702fcead9cafd5a510db26c6b563aa91a72f3a7c974,1,1,1,16175814224772832097117886582757018531876340808696504341109560169071733404932,16175814224772832097117886582757018531876340808696504341109560169071733404932,14.596,511.063,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,665d56a3a1e5,primary,campaign-20260925T060607Z/cpu4/primary0a1/round014,0,1,14,0,1,round0,plonk,5,0,2026-09-25T06:20:06.975Z,0.999,13.27,10209.367,7.498,7.148,10231.134,10231.15,50790568,8b7d89ef154d0704a4a5fb8df978ea728f0decad61374b1d3a80a026ad357fec,1,1,1,8772061116891597512098326450504850663371859585885077427179882578819842555696,8772061116891597512098326450504850663371859585885077427179882578819842555696,10.844,530.836,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,665d56a3a1e5,primary,campaign-20260925T060607Z/cpu4/primary0a1/round015,0,1,15,0,1,round0,groth16,9,0,2026-09-25T06:20:17.230Z,1.814,14.121,202.155,7.672,7.109,225.762,225.781,1746223,b211630d00c7c2d0e5309876a16c72ad66909d7301385d4da830c4a8d71e391e,1,1,1,20121159957847147921812141654231982941331816397431355682788233457047980505218,20121159957847147921812141654231982941331816397431355682788233457047980505218,11.973,504.504,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,665d56a3a1e5,primary,campaign-20260925T060607Z/cpu4/primary0a1/round016,0,1,16,0,1,round0,groth16,5,0,2026-09-25T06:20:17.478Z,0.639,13.343,139.196,7.087,7.204,160.265,160.283,1133343,41c7636150900ee72cf6323930dd506bd0fc015a94a20905cc61c856b4fe919a,1,1,1,8772061116891597512098326450504850663371859585885077427179882578819842555696,8772061116891597512098326450504850663371859585885077427179882578819842555696,11.516,508.383,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,665d56a3a1e5,primary,campaign-20260925T060607Z/cpu4/primary0a1/round017,0,1,17,0,1,round0,plonk,7,0,2026-09-25T06:20:17.662Z,0.756,12.766,10208.246,8.737,7.156,10230.505,10230.522,51171376,e601552aba9f4692ef0f1d2d75ceade0e48da52ddad45690306a402c03eb810f,1,1,1,6834760395900399403843817083005722754930321299301222295483199499696193022453,6834760395900399403843817083005722754930321299301222295483199499696193022453,10.991,532.086,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,665d56a3a1e5,primary,campaign-20260925T060607Z/cpu4/primary0a1/round018,0,1,18,0,1,round0,groth16,13,0,2026-09-25T06:20:27.917Z,22.564,20.736,255.638,7.544,6.944,306.483,306.508,2228031,53cbdd1f02a65121d6c7044031c6cfa4c6ce66c0b9712dd28fe86ef4c6512c1b,1,1,1,2070900789261900884480134887764693608718732168760920549200296856627754794354,2070900789261900884480134887764693608718732168760920549200296856627754794354,12.266,505.371,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,9a7829fe2584259f1dd0dc45cf73c5ce904fce7e61e964fb7958826f156b43be,ok,
