campaign_id,session_id,profile_id,kind,round,round_attempt,position_in_round,container_id,image_id,cpuset,zcorp_cpus,os_cpus_length,available_parallelism,ffjs_concurrency,heap_limit_mb,started_at_utc,ended_at_utc,rows_written,memory_peak_bytes,memory_max_bytes,swap_max,cpu_max,oom_kill,nr_throttled,repo_readonly,artifacts_verified,assertions_passed,status,error
campaign-20260925T060607Z,S20260925T060607Z,cpu4,primary,0,1,3,665d56a3a1e5,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,1-4,4,4,4,4,4144,2026-09-25T06:18:03.730Z,2026-09-25T06:20:59.014Z,24,1686798336,8589934592,0,max 100000,0,0,1,1,1,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,primary,1,1,1,56245007ba4f,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,1-4,4,4,4,4,4144,2026-09-25T06:20:59.466Z,2026-09-25T06:23:54.209Z,24,1716637696,8589934592,0,max 100000,0,0,1,1,1,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,primary,2,1,2,44818fcd4216,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,1-4,4,4,4,4,4144,2026-09-25T06:33:58.414Z,2026-09-25T06:36:52.575Z,24,1661480960,8589934592,0,max 100000,0,0,1,1,1,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,primary,3,1,3,845d3dc3a36c,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,1-4,4,4,4,4,4144,2026-09-25T06:45:55.763Z,2026-09-25T06:48:53.342Z,24,1722404864,8589934592,0,max 100000,0,0,1,1,1,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,primary,4,1,2,a9a1203d4287,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,1-4,4,4,4,4,4144,2026-09-25T06:52:21.492Z,2026-09-25T06:55:16.351Z,24,1684279296,8589934592,0,max 100000,0,0,1,1,1,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,primary,5,1,3,16b834243129,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,1-4,4,4,4,4,4144,2026-09-25T07:04:21.233Z,2026-09-25T07:07:35.388Z,24,1713147904,8589934592,0,max 100000,0,0,1,1,1,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,primary,6,1,1,8347d6822f42,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,1-4,4,4,4,4,4144,2026-09-25T07:07:35.865Z,2026-09-25T07:07:50.006Z,13,748412928,8589934592,0,max 100000,0,0,1,1,1,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,primary,7,1,3,0bafa4a643a8,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,1-4,4,4,4,4,4144,2026-09-25T07:08:52.625Z,2026-09-25T07:09:06.502Z,13,694804480,8589934592,0,max 100000,0,0,1,1,1,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,primary,8,1,2,f9d0afea4179,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,1-4,4,4,4,4,4144,2026-09-25T07:09:25.289Z,2026-09-25T07:09:39.135Z,13,766631936,8589934592,0,max 100000,0,0,1,1,1,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,primary,9,1,1,92d5c2a2b690,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,1-4,4,4,4,4,4144,2026-09-25T07:09:52.444Z,2026-09-25T07:10:06.514Z,13,780173312,8589934592,0,max 100000,0,0,1,1,1,ok,
campaign-20260925T060607Z,S20260925T060607Z,cpu4,primary,10,1,3,42a960b41699,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,1-4,4,4,4,4,4144,2026-09-25T07:11:09.248Z,2026-09-25T07:11:23.255Z,13,680816640,8589934592,0,max 100000,0,0,1,1,1,ok,
