Depth,Input(s),Witness(s),Prove(s),Verify(s),Total(s),Status
5,0.023,0.022,9.736,0.009,9.793,success
6,0.045,0.016,9.529,0.008,9.602,success
7,0.019,0.015,9.409,0.008,9.456,success
8,0.019,0.017,9.463,0.008,9.511,success
9,0.021,0.017,9.426,0.008,9.478,success
10,0.022,0.017,10.384,0.011,10.440,success
11,0.026,0.017,18.291,0.010,18.348,success
12,0.030,0.016,18.171,0.010,18.228,success
13,0.041,0.017,18.356,0.011,18.431,success
14,0.067,0.018,18.167,0.008,18.264,success
15,0.119,0.019,18.071,0.008,18.221,success
