run_id,schedule_id,session_id,op,backend,proof_id,tx_hash,row_state,t_receipt_utc,receipt_now,l1_batch_number,batch_status,committed_at,proven_at,executed_at,commit_tx_hash,prove_tx_hash,execute_tx_hash,commit_chain_id,execute_chain_id,receipt_to_commit_s,receipt_to_prove_s,receipt_to_execute_s,tx_details_status
dry-S3-05c9bfe-20260925T151251Z,S3-ERA-3,S3,verify_credential,groth16,G16-d11-p0,0xc9dad48bbb3153a5a4a13fe83e8ab49df09319df307fa28b30732a3168a371d6,confirmed_success,2026-09-25T15:12:56.317Z,present,34,verified,2026-09-25T15:12:58.435Z,2026-09-25T15:13:00.435Z,2026-09-25T15:13:02.435Z,0x6cb6250014def7ecb9e203eb8b47487b6d51c3354ddf8ba95de640e511f5417b,0xefc2cc8b299402e829658aaca0aab53f8973d79bc856907abbee7f7f2289db6c,0x49774c6449a911466fe88c619848c25a65cc35331911c45e982f1be5b27ac36d,11155111,11155111,2.118,4.118,6.118,included
dry-S3-05c9bfe-20260925T151251Z,S3-ERA-4,S3,verify_credential,plonk,PLK-d11-p1,0x673b30b244767bccb92bcedc42eeb009f9b6c0d2aeeffad83cbb918fecd8ffe5,confirmed_success,2026-09-25T15:12:56.843Z,present,34,verified,2026-09-25T15:12:58.435Z,2026-09-25T15:13:00.435Z,2026-09-25T15:13:02.435Z,0x6cb6250014def7ecb9e203eb8b47487b6d51c3354ddf8ba95de640e511f5417b,0xefc2cc8b299402e829658aaca0aab53f8973d79bc856907abbee7f7f2289db6c,0x49774c6449a911466fe88c619848c25a65cc35331911c45e982f1be5b27ac36d,11155111,11155111,1.592,3.592,5.592,included
dry-setup-era-sepolia-05c9bfe-20260925T151234Z,SETUP-ERA-01,SETUP,deploy_verifier,groth16,,0x0e7607c0fedeab2fc3ec15e9f2db5a1a857934b6da94910d020e6fb866f00a62,confirmed_success,2026-09-25T15:12:34.882Z,present,10,verified,2026-09-25T15:12:36.575Z,2026-09-25T15:12:38.575Z,2026-09-25T15:12:40.575Z,0xbdd5c85a8e5e267febae8cbe46f3ef04d302a5ebd866a184fb630373db4befe2,0xe6e1abbeaabe25c22502d45f25226fbb3c13b5878c1a275bb705b26f31529f6e,0xd3b957dffe77168df3f99d50c841ec8eb4154fd51a74a30ad44eb567f994ee93,11155111,11155111,1.693,3.693,5.693,included
dry-setup-era-sepolia-05c9bfe-20260925T151234Z,SETUP-ERA-02,SETUP,deploy_manager,groth16,,0x7cebb3b8f03e0e8e840f6d1531946b6e6c0b6ee03dafe217f14c8cc2c3df3a81,confirmed_success,2026-09-25T15:12:35.415Z,present,11,verified,2026-09-25T15:12:37.490Z,2026-09-25T15:12:39.490Z,2026-09-25T15:12:41.490Z,0xc4e86c3215960e8b12995cb7a9a8f4bff0f0811de5a059ff7ef8cea6b4fcea4f,0x4cc3e926944c7c2612293571a151c234522a1ab36e371ea729831d5436679254,0x4b43c790db6b766bfa67d3e50aee43da9c6e5b491a29ddea68853f920978916d,11155111,11155111,2.075,4.075,6.075,included
dry-setup-era-sepolia-05c9bfe-20260925T151234Z,SETUP-ERA-03,SETUP,set_issuer,groth16,,0x609020c05ed8be24390ea03cd83e7d4f875dc95c5cc292adff8153f47d372028,confirmed_success,2026-09-25T15:12:35.936Z,present,11,verified,2026-09-25T15:12:37.490Z,2026-09-25T15:12:39.490Z,2026-09-25T15:12:41.490Z,0xc4e86c3215960e8b12995cb7a9a8f4bff0f0811de5a059ff7ef8cea6b4fcea4f,0x4cc3e926944c7c2612293571a151c234522a1ab36e371ea729831d5436679254,0x4b43c790db6b766bfa67d3e50aee43da9c6e5b491a29ddea68853f920978916d,11155111,11155111,1.554,3.554,5.554,included
dry-setup-era-sepolia-05c9bfe-20260925T151234Z,SETUP-ERA-04,SETUP,add_root,groth16,,0x833b003415da8f37e082de6d857957a138076010ab838c577d0052fefa9a0e7f,confirmed_success,2026-09-25T15:12:36.462Z,present,12,verified,2026-09-25T15:12:38.399Z,2026-09-25T15:12:40.399Z,2026-09-25T15:12:42.399Z,0x2cc17275507e89ecb7fa11806b3bd4775c19753e8bd8382a7f3291db35bacd2f,0x21bea4c46df91c656c82280a8bbaa09d00ee2461694959ee74055fd7bf6a748f,0x4f16b9bb75a0144549f24d2a30035283d45f88fd26d08d45a5a03d2f6fbb05d2,11155111,11155111,1.937,3.937,5.937,included
dry-setup-era-sepolia-05c9bfe-20260925T151234Z,SETUP-ERA-05,SETUP,deploy_verifier,plonk,,0x525ec0b32b7cf61f227382964cdeb8d34fd4cd9bf9a23cf689b9cbebe1a28787,confirmed_success,2026-09-25T15:12:37.011Z,present,13,verified,2026-09-25T15:12:39.310Z,2026-09-25T15:12:41.310Z,2026-09-25T15:12:43.310Z,0x7282aaf25b91e4cdea0fd162c863543a7044ece90f6ee5d4fa6ac481d3850a40,0x8241dc943ae0a3652695ce16aa08ebf5e576537d43ce2b471b0f288958381ea7,0xb0fcf42d4c67644f1c7fb0510e05361c863693bc5ce97c3f4f757622bf8a42c2,11155111,11155111,2.299,4.299,6.299,included
dry-setup-era-sepolia-05c9bfe-20260925T151234Z,SETUP-ERA-06,SETUP,deploy_manager,plonk,,0xae16244c74c3c7c11a372f9fb1241f5a3935da515091ad694f933b9fbbb6a8b6,confirmed_success,2026-09-25T15:12:37.538Z,present,13,verified,2026-09-25T15:12:39.310Z,2026-09-25T15:12:41.310Z,2026-09-25T15:12:43.310Z,0x7282aaf25b91e4cdea0fd162c863543a7044ece90f6ee5d4fa6ac481d3850a40,0x8241dc943ae0a3652695ce16aa08ebf5e576537d43ce2b471b0f288958381ea7,0xb0fcf42d4c67644f1c7fb0510e05361c863693bc5ce97c3f4f757622bf8a42c2,11155111,11155111,1.772,3.772,5.772,included
dry-setup-era-sepolia-05c9bfe-20260925T151234Z,SETUP-ERA-07,SETUP,set_issuer,plonk,,0x8e9ab4e0f1e4abbc5a025f08c7f063a6b419037ac75b340a1f2daf75fc2bc9c7,confirmed_success,2026-09-25T15:12:38.063Z,present,14,verified,2026-09-25T15:12:40.217Z,2026-09-25T15:12:42.217Z,2026-09-25T15:12:44.217Z,0xd18c7581c8daec608fc4dfffbd5e0542aac4d24a728b6f6532fa39f16df3e0f9,0xe23ba24feb8154830d609b80a3af7e04426cd97e09510ccf7c2ac09870b01abb,0xdeb47bb92acace178a8d73f71337ec220b86514e8d39f81c6a84f82d663c5282,11155111,11155111,2.154,4.154,6.154,included
dry-setup-era-sepolia-05c9bfe-20260925T151234Z,SETUP-ERA-08,SETUP,add_root,plonk,,0x4424a7a8c60bce170ca60d0cd97606afcb8507f22f7612ac4b7500e5b718dec7,confirmed_success,2026-09-25T15:12:38.590Z,present,14,verified,2026-09-25T15:12:40.217Z,2026-09-25T15:12:42.217Z,2026-09-25T15:12:44.217Z,0xd18c7581c8daec608fc4dfffbd5e0542aac4d24a728b6f6532fa39f16df3e0f9,0xe23ba24feb8154830d609b80a3af7e04426cd97e09510ccf7c2ac09870b01abb,0xdeb47bb92acace178a8d73f71337ec220b86514e8d39f81c6a84f82d663c5282,11155111,11155111,1.627,3.627,5.627,included
