campaign_id,session_id,event,utc,mode,git_head,image_id,docker_desktop,engine,kernel,vm_ncpu,vm_mem_bytes,power_source,low_power_mode,caffeinated,detail
campaign-20260925T060607Z,S20260925T060607Z,start,2026-09-25T06:06:11Z,campaign,dc13ddd3e4561e5d69fe372fe3cb2d550bfb2b81,,4.92.0,29.8.0,7.0.12-linuxkit,10,16745824256,"AC Power",0,1,"new"
campaign-20260925T060607Z,S20260925T060607Z,end,2026-09-25T07:46:24Z,campaign,dc13ddd3e4561e5d69fe372fe3cb2d550bfb2b81,sha256:50c5f26d2c05b460aa702d89700b74f817ea4adce9d64a5abacaae7a9bb671c8,4.92.0,29.8.0,7.0.12-linuxkit,10,16745824256,"AC Power",0,1,"PASS"
