network,depth,step,txHash,status,gasUsed,gasPriceWei,gasPriceGwei,feeWei,feeEth,verifier,credentialManager
zkSyncSepolia,11,"deploy Verifier",0xf6a084ddfc831d6953cd9863df96858ae72596a0d19831dc516189e25f3faac3,success,105417,25000000,0.025,2635425000000,0.000002635425,0x7B22dacE8FCe0324486d79EE4684F43220e537cF,0xC15058464195A02A751F9eEa04f998cb59F0CB6b
zkSyncSepolia,11,"deploy CredentialManager",0x4821b792068137dbc468155f50cede8af4af407e6afe5d16047f4e8f61cd3c14,success,126313,25000000,0.025,3157825000000,0.000003157825,0x7B22dacE8FCe0324486d79EE4684F43220e537cF,0xC15058464195A02A751F9eEa04f998cb59F0CB6b
zkSyncSepolia,11,"setIssuer",0x1dd552e8fffa0a1ef6335debb1a9f87cf7bf75462ed9a29c186d4dd5288534e8,success,83129,25000000,0.025,2078225000000,0.000002078225,0x7B22dacE8FCe0324486d79EE4684F43220e537cF,0xC15058464195A02A751F9eEa04f998cb59F0CB6b
zkSyncSepolia,11,"addRoot",0x61e7246fe8ffe49f4873b80e5f38ae1d0ee1db6eec45e524e2bb3738d3f12b61,success,84425,25000000,0.025,2110625000000,0.000002110625,0x7B22dacE8FCe0324486d79EE4684F43220e537cF,0xC15058464195A02A751F9eEa04f998cb59F0CB6b
